# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_assault
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_ttt_glock	5060.6592 4413.1538 -863.7147	-0.131 36.017 88.229
weapon_zm_pistol	4894.3540 4431.9785 -863.7537	34.383 0.053 -0.578
weapon_zm_pistol	4891.6270 5106.2764 -863.7322	-0.155 36.020 87.936
weapon_zm_pistol	5499.3296 5217.2119 -871.7207	-0.139 36.020 88.129
weapon_ttt_glock	6097.5796 5229.4531 -871.6621	-0.059 35.961 89.110
weapon_zm_pistol	6736.1328 5699.5591 -871.6795	-0.083 35.987 88.820
weapon_zm_pistol	6635.1123 6338.6450 -871.6928	-0.101 35.998 88.596
weapon_zm_pistol	5780.5542 6389.9717 -871.6863	-0.092 35.993 88.705
weapon_zm_pistol	7130.0474 6396.2275 -531.7036	0.016 35.155 88.098
weapon_ttt_glock	7133.6177 5256.5791 -531.6724	0.010 35.116 88.736
item_ammo_pistol_ttt	5940.6768 4790.0137 -441.9749	0.071 -0.604 -11.263
item_ammo_pistol_ttt	5947.8813 4789.4663 -440.8092	-0.258 1.386 -17.784
item_ammo_pistol_ttt	5957.4258 4791.2021 -442.2281	-0.737 3.339 -11.160
item_ammo_pistol_ttt	6423.4165 4111.4785 -735.5722	-0.062 -0.020 -0.019
item_ammo_pistol_ttt	6413.4375 4111.3906 -735.5579	-0.049 -0.020 -0.015
item_ammo_pistol_ttt	6402.7144 4112.7227 -735.6478	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	5782.1465 4863.0518 -607.5576	0.158 0.229 -0.216
item_ammo_pistol_ttt	5773.8350 4863.1064 -607.5333	0.076 0.624 -0.184
item_ammo_pistol_ttt	5765.5425 4865.4712 -606.6454	5.886 0.100 -4.214
item_ammo_pistol_ttt	5398.2686 6018.0503 -863.6147	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	5409.7256 6018.3828 -863.6393	-0.121 -0.019 -0.036
item_ammo_pistol_ttt	5416.3833 6017.9199 -863.5037	1.011 -1.780 0.312
item_ammo_pistol_ttt	6942.3813 7238.4644 -531.6147	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	6949.6968 7238.3726 -531.5499	-0.288 0.121 -0.389
