# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_compound
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_ttt_glock	1883.8173 -566.6259 0.2950	-0.118 36.008 88.392
weapon_zm_pistol	897.7380 2242.7966 0.2643	-0.159 36.021 87.878
weapon_zm_pistol	1015.2643 2395.1660 0.3302	-0.639 37.435 90.954
weapon_zm_pistol	1051.7521 2434.0032 0.2625	-0.162 36.019 87.848
weapon_zm_pistol	1484.4983 1673.8444 23.7674	-1.647 31.958 88.279
weapon_ttt_glock	1444.6223 2921.0447 0.2937	-0.119 36.013 88.370
weapon_zm_pistol	1837.3788 -876.4826 0.2910	-0.123 36.013 88.324
weapon_zm_pistol	1727.9264 -476.2874 11.7954	-5.444 33.497 89.973
weapon_zm_pistol	2153.8970 -280.3384 54.0489	-0.137 23.480 88.154
weapon_ttt_glock	2312.5083 -675.3105 34.0625	-0.050 31.643 90.333
weapon_zm_pistol	2309.5259 -734.5618 34.6276	-0.055 35.236 90.160
weapon_zm_pistol	2325.2312 -239.9893 0.3735	0.418 46.968 90.645
weapon_ttt_glock	2632.6477 583.8844 4.2745	-0.145 36.019 88.049
item_ammo_pistol_ttt	3132.5029 1248.0815 8.3920	-0.093 -0.020 -0.028
item_ammo_pistol_ttt	3143.5273 1244.4275 8.3430	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	3153.5530 1242.2303 8.4055	-0.081 -0.020 -0.025
item_ammo_pistol_ttt	1355.8966 1556.4039 52.8296	-2.294 -0.017 0.561
item_ammo_pistol_ttt	1341.6504 1554.0839 52.2334	-2.488 0.003 0.565
item_ammo_pistol_ttt	1335.3551 1552.3927 52.0779	-2.868 -0.211 0.562
item_ammo_pistol_ttt	1768.4734 1366.6309 51.8123	-1.113 -0.113 -0.733
item_ammo_pistol_ttt	1753.7465 1361.7906 51.6486	-1.090 -0.117 -0.735
item_ammo_pistol_ttt	1775.9022 1366.3047 52.0108	-2.247 0.375 -0.765
item_ammo_pistol_ttt	2143.0815 -940.3893 -0.2212	0.239 0.043 -0.604
item_ammo_pistol_ttt	2155.2361 -939.7273 -0.1948	0.206 0.063 -0.594
item_ammo_pistol_ttt	2168.8337 -935.9508 -0.2205	0.252 0.059 -0.603
item_ammo_pistol_ttt	1007.3750 905.4802 0.3543	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	983.9089 904.3416 1.2941	-0.450 -0.583 -5.918
item_ammo_pistol_ttt	998.8434 909.4295 0.3382	-0.140 -0.019 -0.042
item_ammo_pistol_ttt	1530.4375 -801.5037 34.2226	0.068 0.021 -0.017
item_ammo_pistol_ttt	1526.8615 -780.9319 34.2691	-0.678 -0.141 -0.002
item_ammo_pistol_ttt	1538.8481 -791.0783 34.2527	-0.776 -0.101 0.115
item_ammo_pistol_ttt	2104.6472 588.8327 6.4621	-0.245 0.703 -0.317
item_ammo_pistol_ttt	2098.3191 589.6414 6.4298	-0.060 -0.020 -0.018
item_ammo_pistol_ttt	2092.2563 590.0693 6.4253	-0.538 0.312 -0.650
item_ammo_pistol_ttt	1545.6964 -1653.3997 1.5645	-0.437 -0.027 0.076
item_ammo_pistol_ttt	1553.6917 -1653.0645 1.6138	-0.418 -0.026 0.075
item_ammo_pistol_ttt	1560.6479 -1651.6001 1.7038	-0.341 -0.025 0.073
item_ammo_pistol_ttt	1881.7351 -538.5420 0.3521	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	881.0634 2263.8552 0.3645	-0.274 59.983 -0.040
item_ammo_pistol_ttt	1008.7727 2419.4834 0.3645	-0.274 44.583 -0.040
item_ammo_pistol_ttt	1446.5024 1669.2816 58.9940	3.308 -0.258 -1.247
item_ammo_pistol_ttt	1237.4396 3138.2832 0.3727	-0.110 -0.019 -0.033
item_ammo_pistol_ttt	1244.4973 3148.9561 0.3951	-0.090 -0.020 -0.027
item_ammo_pistol_ttt	1812.1964 -859.7247 46.9884	-0.428 -0.488 -0.253
item_ammo_pistol_ttt	1792.0361 -859.5898 46.9585	0.006 -1.278 -0.084
item_ammo_pistol_ttt	2303.0608 -238.6349 0.4402	-0.151 0.390 -0.348
item_ammo_pistol_ttt	2315.8721 -238.6752 0.4396	-0.396 0.329 -0.513
weapon_zm_revolver	2426.6892 1670.3187 9.8882	2.467 -20.321 -83.195
weapon_zm_revolver	2398.4575 1708.8536 9.8869	2.468 -20.320 -83.165
weapon_zm_revolver	2333.2148 1776.3761 9.9046	2.452 -20.352 -83.562
weapon_zm_revolver	1697.2297 -1593.8049 17.8843	2.471 -20.318 -83.105
weapon_zm_revolver	1875.3812 -1594.8402 17.8957	2.460 -20.339 -83.362
weapon_zm_revolver	2348.0491 1628.4692 2.8386	2.725 -20.041 -83.914
ttt_random_weapon	3258.6213 1603.1522 16.0367	1.738 4.707 -92.910
ttt_random_weapon	3062.4360 955.8621 10.5016	2.028 6.505 -92.331
ttt_random_weapon	3588.2830 1475.9219 3.8811	2.068 2.646 -92.206
ttt_random_weapon	1863.4940 2801.5691 21.1300	1.834 0.097 -92.691
ttt_random_weapon	1848.0505 2777.4888 5.0293	1.834 2.510 -92.691
ttt_random_weapon	375.8333 -919.1995 9.7102	1.715 5.996 -92.965
ttt_random_weapon	351.9940 -1510.6639 25.0266	1.547 5.360 -93.348
ttt_random_weapon	2657.2178 -1555.6563 29.6562	2.592 3.215 -94.863
ttt_random_weapon	2084.7666 -1604.9716 45.3636	-2.485 -48.320 85.323
ttt_random_weapon	2181.4636 461.2956 15.9993	1.934 4.924 -92.462
ttt_random_weapon	1753.0389 659.6242 40.2699	-1.652 158.609 84.163
ttt_random_weapon	1765.1129 575.8444 36.8082	1.930 3.509 -92.663
ttt_random_weapon	1589.0555 465.5350 1.2162	1.692 4.925 -93.016
ttt_random_weapon	1576.5875 686.7610 1.2329	1.504 4.911 -93.448
ttt_random_weapon	1873.3109 383.2730 262.2970	1.836 3.834 -92.686
item_ammo_smg1_ttt	1645.1154 1455.5865 57.8574	-1.243 -0.049 -0.300
item_ammo_smg1_ttt	1677.2249 1446.9318 59.8121	11.628 -3.263 -0.283
item_ammo_smg1_ttt	2031.6688 440.9265 36.3917	0.109 -0.005 0.061
item_ammo_smg1_ttt	2013.8258 440.4090 36.3993	-0.152 0.005 0.090
item_ammo_smg1_ttt	2125.6365 -1513.6619 8.4775	0.503 -0.001 0.218
item_ammo_smg1_ttt	2122.4482 -1489.1859 8.4799	0.210 0.000 0.022
item_ammo_smg1_ttt	2325.4033 -366.8907 66.5395	0.508 0.401 0.501
item_ammo_smg1_ttt	2324.9839 -402.6975 66.5496	0.301 0.399 0.294
item_ammo_smg1_ttt	2478.5337 -845.6689 256.4306	0.757 -0.002 0.496
item_ammo_smg1_ttt	2479.4104 -875.7047 256.4157	0.338 -0.005 0.215
item_ammo_smg1_ttt	335.7247 -711.8696 0.5123	-0.288 0.012 -0.247
item_ammo_smg1_ttt	356.6474 -715.2948 0.4286	0.663 -0.003 0.433
item_ammo_smg1_ttt	3167.1772 1689.3599 98.2523	-18.180 0.468 16.548
item_ammo_smg1_ttt	3176.1655 1676.5953 103.2358	65.885 40.484 87.420
weapon_zm_shotgun	1954.7079 -1503.6262 165.8934	-1.789 9.566 92.357
weapon_zm_shotgun	2324.4592 -426.3297 8.8529	-60.646 16.906 -77.154
weapon_zm_shotgun	2096.2502 649.4221 7.9164	-49.343 -41.054 -84.526
weapon_zm_shotgun	1412.8013 1385.9185 56.1466	-1.380 8.894 85.056
weapon_zm_shotgun	2120.3535 2037.4579 9.2655	-0.246 8.298 83.650
weapon_zm_shotgun	2676.5032 676.1642 51.7162	0.208 -32.963 81.537
weapon_ttt_m16	3129.7429 1221.4482 9.1744	2.203 -8.225 84.416
weapon_ttt_m16	1320.0237 1526.7041 53.1463	0.435 -9.547 -84.354
weapon_ttt_m16	1761.1217 1342.0448 53.9837	1.646 9.345 -85.350
weapon_ttt_m16	2144.8633 -972.5856 1.2268	2.024 5.201 85.223
weapon_ttt_m16	978.4839 892.8381 0.9905	0.645 -8.571 82.934
weapon_ttt_m16	1540.9519 -774.2217 34.9241	2.113 8.688 84.717
weapon_ttt_m16	2072.9783 596.4783 8.4690	-69.731 -11.799 87.502
weapon_ttt_m16	1574.3474 -1673.4082 2.4507	1.801 -4.204 84.130
weapon_zm_molotov	1956.1271 -1735.7570 7.7747	-1.161 0.447 -2.142
weapon_zm_molotov	1547.4480 -951.8680 4.6518	4.145 0.031 -1.677
weapon_zm_molotov	1572.3243 382.9973 3.7403	2.465 0.079 3.808
weapon_zm_molotov	2319.6770 -337.8323 4.5805	2.953 -0.132 -3.054
weapon_zm_molotov	2369.8262 -872.9885 132.5063	0.271 0.003 0.057
weapon_zm_molotov	2486.8142 721.9737 6.9879	-0.004 -1.025 3.194
weapon_zm_molotov	1921.6576 434.8987 67.8327	-70.201 -122.379 -89.713
weapon_zm_molotov	1144.6987 1222.1931 5.8568	-0.999 -0.009 -1.485
weapon_zm_molotov	971.0093 -426.9343 4.5211	0.488 0.005 -0.180
weapon_zm_molotov	3226.4675 1625.5037 12.5755	3.011 -0.136 -3.099
weapon_zm_molotov	3539.6504 1415.5741 5.8282	0.454 0.697 1.309
weapon_zm_molotov	2717.2834 611.1027 5.8626	-0.179 0.482 2.451
weapon_zm_sledge	2486.0503 626.9417 7.1081	2.003 20.716 88.416
weapon_zm_sledge	3293.7302 -290.7982 10.1605	18.890 2.099 3.264
weapon_zm_sledge	1740.2615 -457.1461 17.3415	7.949 1.913 6.355
weapon_zm_sledge	753.7254 43.5787 4.4248	18.548 0.302 2.857
weapon_zm_sledge	1520.8112 -1235.2021 52.9108	19.070 2.264 5.500
item_box_buckshot_ttt	1956.3180 -1488.5656 166.7457	-0.475 1.410 6.831
item_box_buckshot_ttt	1967.5715 -1487.3542 166.9241	-0.201 1.056 6.065
item_box_buckshot_ttt	1981.0573 -1486.4518 166.9590	-0.585 1.396 6.930
item_box_buckshot_ttt	2324.6843 -393.9594 36.3814	-0.223 0.001 0.267
item_box_buckshot_ttt	2323.3054 -407.1246 36.3933	-0.966 -0.004 0.855
item_box_buckshot_ttt	2313.0254 -400.9132 36.3823	-0.371 0.001 0.385
item_box_buckshot_ttt	2101.5371 631.2676 36.3722	-0.747 -0.011 -0.551
item_box_buckshot_ttt	2103.0227 621.1995 36.4560	0.016 -0.043 0.026
item_box_buckshot_ttt	2095.5393 621.5945 36.4769	0.875 -0.021 0.261
item_box_buckshot_ttt	2088.2134 612.3796 36.4446	1.671 0.094 0.498
item_box_buckshot_ttt	1359.8650 1424.2537 55.1476	-0.840 -9.275 0.893
item_box_buckshot_ttt	1376.2903 1438.1232 55.5243	-0.156 0.044 1.487
item_box_buckshot_ttt	1368.6454 1417.4912 55.1851	0.534 -17.670 1.978
item_box_buckshot_ttt	2102.6292 2053.7368 8.4156	-0.759 -0.006 0.676
item_box_buckshot_ttt	2114.1252 2052.4141 8.3778	0.299 0.003 -0.156
item_box_buckshot_ttt	2124.6418 2054.8201 8.4149	-0.770 -0.005 0.683
item_box_buckshot_ttt	2685.7314 636.4003 50.8665	0.208 -0.004 -0.094
item_box_buckshot_ttt	2674.7053 644.4888 50.9947	-0.129 -4.281 -0.006
item_box_buckshot_ttt	2666.1343 656.6495 50.9572	0.129 5.385 0.660
ttt_random_ammo	2701.7043 2157.7427 8.3227	0.047 0.000 -0.033
ttt_random_ammo	2721.3848 2161.5408 8.3468	0.050 0.000 -0.017
ttt_random_ammo	2859.8662 2023.5725 8.4526	0.871 0.024 1.051
ttt_random_ammo	2852.3643 2002.7245 8.3468	0.050 0.000 -0.017
ttt_random_ammo	2972.5562 1883.6250 8.3512	0.052 0.000 -0.011
ttt_random_ammo	3125.5801 1730.3168 8.3490	0.051 0.000 -0.014
ttt_random_ammo	3038.1011 1033.3580 8.4181	1.570 0.041 1.892
ttt_random_ammo	3010.2854 1055.0222 8.3227	0.047 0.000 -0.033
ttt_random_ammo	3416.1279 1438.7120 8.3878	-0.247 -0.001 0.243
ttt_random_ammo	3418.1538 1411.6315 8.3673	0.083 0.000 0.034
ttt_random_ammo	4423.1304 1345.0774 2.9397	0.725 -0.049 0.150
ttt_random_ammo	4428.9717 1326.8358 2.8333	0.670 -0.045 0.168
ttt_random_ammo	4470.7871 1331.5067 2.4975	0.969 -0.040 0.079
ttt_random_ammo	3669.5171 543.6566 1.4020	0.343 -0.224 0.060
ttt_random_ammo	2588.0657 744.3842 3.6365	0.291 0.075 1.048
ttt_random_ammo	2557.1484 751.1982 3.8087	0.161 0.005 1.549
ttt_random_ammo	1317.0052 1680.6481 60.5848	-2.381 0.166 -6.652
ttt_random_ammo	1303.9607 1672.3134 60.4526	-5.478 -0.733 -0.340
ttt_random_ammo	1898.1693 2780.1941 0.3400	0.047 0.000 -0.023
ttt_random_ammo	1567.2529 2469.2156 0.1124	0.030 -0.114 -0.614
ttt_random_ammo	1546.2167 2480.5591 -0.0599	0.082 -0.119 -0.814
ttt_random_ammo	1677.5565 2287.1267 2.4871	0.062 0.505 -5.761
ttt_random_ammo	1015.6144 1083.1573 0.3710	0.099 0.000 0.056
ttt_random_ammo	990.1464 1087.2510 0.3512	0.053 0.000 -0.011
ttt_random_ammo	973.8755 -235.0454 0.3468	0.050 0.000 -0.017
ttt_random_ammo	977.5717 -406.5840 0.4454	1.091 0.028 1.324
ttt_random_ammo	335.8621 -1578.2500 0.3673	0.083 0.000 0.035
ttt_random_ammo	366.0997 -1565.1188 0.4148	1.739 0.031 2.108
ttt_random_ammo	964.2289 -1563.2728 0.4377	1.225 0.030 1.482
ttt_random_ammo	1607.9283 -1723.4091 1.7383	-0.366 0.161 0.023
ttt_random_ammo	1989.9424 -1729.9595 3.8541	-0.804 0.042 -0.155
ttt_random_ammo	2029.9780 -1720.1033 4.0749	-1.069 0.030 -0.122
ttt_random_ammo	2033.5918 -1603.2650 35.8167	-1.277 0.028 -1.806
ttt_random_ammo	2005.6869 -1607.3409 35.7488	0.044 0.000 -0.012
ttt_random_ammo	1939.3090 -1406.8251 16.3615	0.067 0.000 0.012
ttt_random_ammo	2345.5105 -941.5348 0.0842	0.048 -0.066 -0.857
ttt_random_ammo	2314.6479 -701.0604 34.1779	0.351 -2.764 -0.039
ttt_random_ammo	2314.4412 -753.9260 33.4314	-0.066 0.000 0.314
ttt_random_ammo	2368.5005 -545.0425 0.3533	0.055 0.000 -0.007
ttt_random_ammo	2390.0559 -552.3217 0.3468	0.050 0.000 -0.017
ttt_random_ammo	1546.2773 781.0856 0.3328	0.046 0.000 -0.028
ttt_random_ammo	1567.0913 781.0283 0.3745	0.122 0.000 0.085
ttt_random_ammo	1902.8101 783.0622 20.3057	0.703 -0.206 0.144
ttt_random_ammo	2096.0605 645.4901 256.3353	0.047 -0.000 0.027
ttt_random_ammo	2066.2178 641.9395 256.3468	0.050 0.000 -0.017
ttt_random_ammo	1555.0712 750.3245 256.3376	0.047 0.000 -0.025
