# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_havana
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_ttt_glock	-167.4893 1372.6747 16.2607	-0.164 36.019 87.817
weapon_zm_pistol	316.0258 2067.6062 16.2607	-0.164 106.059 87.817
weapon_zm_pistol	-514.4308 1395.1360 16.2607	-0.164 33.599 87.817
weapon_zm_pistol	-846.2520 982.5079 16.2607	-0.164 -45.821 87.817
weapon_zm_pistol	-1259.7142 400.6632 0.2607	-0.164 142.499 87.817
weapon_ttt_glock	-36.4110 -200.2413 32.2607	-0.164 -151.501 87.817
weapon_zm_pistol	278.0748 290.0724 16.2607	-0.164 -36.661 87.817
weapon_zm_pistol	639.9857 691.8483 256.2607	-0.164 -33.501 87.817
weapon_zm_pistol	-273.4109 899.9859 248.2607	-0.164 143.899 87.817
weapon_zm_pistol	-744.5264 1858.9985 240.2607	-0.164 -139.101 87.817
weapon_ttt_glock	1283.8385 814.2878 0.2607	-0.164 -49.922 87.817
weapon_zm_pistol	-247.5497 -389.4009 16.2607	-0.164 -134.481 87.817
item_ammo_pistol_ttt	-950.5677 420.7816 16.3997	-0.086 -0.020 -0.026
item_ammo_pistol_ttt	-940.3369 420.6661 16.3853	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	-932.2051 421.4232 16.3176	-0.158 -0.017 -0.048
item_ammo_pistol_ttt	252.5064 -164.3958 32.4881	0.082 -0.891 -0.002
item_ammo_pistol_ttt	255.4910 -187.5233 32.4853	0.125 1.446 0.008
item_ammo_pistol_ttt	254.7815 -210.7438 32.3783	-0.105 -0.020 -0.032
item_ammo_pistol_ttt	981.7957 671.8253 256.3358	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	970.1699 671.3640 256.4309	-0.059 -0.020 -0.018
item_ammo_pistol_ttt	960.9526 672.0186 256.3521	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	-8.1850 1120.1436 248.3764	-0.107 -0.019 -0.032
item_ammo_pistol_ttt	-0.3771 1120.7487 248.3586	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	9.2586 1120.6482 248.3453	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	1293.9457 370.1867 38.8693	-1.304 -0.059 4.577
item_ammo_pistol_ttt	1287.7013 371.0573 38.7744	-1.319 -0.063 4.572
item_ammo_pistol_ttt	1280.2076 362.1129 37.8419	-1.260 -0.046 4.593
item_ammo_pistol_ttt	-164.0967 1357.5039 16.3818	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	-171.5573 1357.0226 16.3256	-0.151 -0.018 -0.046
item_ammo_pistol_ttt	-178.9033 1355.9932 16.3668	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	332.0943 2065.1362 16.3668	-0.115 92.240 -0.035
item_ammo_pistol_ttt	329.5253 2075.4585 16.3668	-0.115 89.160 -0.035
item_ammo_pistol_ttt	331.7509 2084.8245 16.3668	-0.115 94.660 -0.035
item_ammo_pistol_ttt	-517.8046 1379.3240 16.3668	-0.115 -3.100 -0.035
item_ammo_pistol_ttt	-504.0060 1379.0548 16.3668	-0.115 -7.720 -0.035
item_ammo_pistol_ttt	-493.5306 1379.7130 16.3668	-0.115 8.560 -0.035
item_ammo_pistol_ttt	-852.1647 961.3028 16.3668	-0.115 -66.680 -0.035
