# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_italy
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_ttt_glock	-428.4187 -83.6849 -151.7077	-0.121 36.013 88.347
weapon_zm_pistol	-1191.8619 -472.0122 -129.5929	-0.493 -36.937 -91.379
weapon_zm_pistol	-1154.8306 -201.6306 -151.7185	-0.118 37.537 88.116
weapon_zm_pistol	-1335.0095 1205.2037 -54.6425	0.872 16.900 88.995
weapon_ttt_glock	-843.5283 845.6080 -151.6436	0.080 6.309 90.985
weapon_zm_pistol	-155.4832 603.2481 -151.5994	0.838 34.885 90.356
weapon_zm_pistol	-880.9306 920.1655 -93.9520	0.903 -162.111 -88.547
weapon_zm_pistol	71.6775 619.1111 -151.6826	0.178 -47.428 88.403
weapon_zm_pistol	0.5251 1307.6322 -151.6778	0.423 42.015 88.344
item_ammo_pistol_ttt	706.3396 -267.3416 -41.6152	0.104 -0.004 0.006
item_ammo_pistol_ttt	706.4897 -304.7953 -41.5960	0.115 -0.045 0.013
item_ammo_pistol_ttt	1057.1818 -175.0113 -151.5548	0.094 -11.322 0.202
item_ammo_pistol_ttt	1075.3771 -178.4895 -142.7956	-36.659 152.888 -88.295
item_ammo_pistol_ttt	615.6575 -328.1787 -159.5957	1.024 2.041 0.179
item_ammo_pistol_ttt	604.9374 -324.4861 -159.6372	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	644.6044 -359.0356 -159.5692	-0.353 0.538 -0.557
item_ammo_pistol_ttt	435.7711 -220.4288 -156.6781	-89.387 -124.548 162.830
item_ammo_pistol_ttt	135.1806 -764.9062 -148.7438	-89.905 28.903 179.981
item_ammo_pistol_ttt	-865.1263 -1276.3190 -23.6119	-0.167 89.194 0.030
item_ammo_pistol_ttt	526.9788 -373.9575 -159.5169	-0.085 -82.699 -0.112
weapon_zm_revolver	177.7363 -578.2557 -113.0604	2.652 -42.807 -85.505
weapon_zm_revolver	-816.3132 1098.5116 -117.5755	3.764 -18.069 -82.917
weapon_zm_revolver	-881.2284 861.3030 57.9037	2.576 -20.508 -83.341
weapon_zm_revolver	-64.0719 1390.1450 -59.3351	-4.121 -21.623 -80.646
weapon_zm_revolver	-1330.0580 1222.9280 -53.1731	1.251 -1.694 -87.147
weapon_zm_revolver	-1137.5911 1325.7323 -117.0892	2.557 -20.521 -83.520
weapon_zm_revolver	79.3302 621.2805 -150.0373	2.305 -113.914 -85.269
weapon_zm_revolver	-276.9095 2210.1912 -150.2117	1.765 57.827 -84.654
weapon_zm_revolver	-655.2692 2061.0039 -55.2784	2.775 74.669 84.414
weapon_zm_revolver	-217.1655 1827.5740 9.7132	0.960 -11.535 -83.328
ttt_random_weapon	1056.8148 -758.4769 -86.8089	1.756 71.828 -93.506
ttt_random_weapon	984.0411 2511.1887 129.2280	1.559 4.758 -93.322
ttt_random_weapon	797.3359 2316.7813 1.2254	1.588 4.986 -93.254
ttt_random_weapon	415.5651 2244.9302 43.7027	2.200 -17.735 -92.259
ttt_random_weapon	-263.3030 2365.4080 9.2050	1.819 4.928 -92.725
ttt_random_weapon	-925.9451 -1243.3076 -143.2825	1.819 2.948 -92.725
ttt_random_weapon	-339.5084 -1141.9792 -146.4930	1.819 4.928 -92.725
ttt_random_weapon	606.8998 -726.0648 -143.8360	1.622 3.568 -93.178
ttt_random_weapon	998.8052 -160.7213 -136.6548	1.882 1.415 -92.582
ttt_random_weapon	-1342.9327 1535.9182 -69.4237	1.118 7.419 -93.843
ttt_random_weapon	-1053.2859 1615.4202 -40.9910	1.786 3.484 -92.801
ttt_random_weapon	-1077.6538 1137.0897 10.8181	1.893 6.541 -92.556
ttt_random_weapon	-930.6869 888.4472 -158.8076	1.910 5.215 -92.458
ttt_random_weapon	-1293.8522 1008.1071 -94.6049	5.976 15.593 -83.710
ttt_random_weapon	-295.9716 -99.0169 -21.8447	1.515 7.678 -94.891
ttt_random_weapon	417.5840 -291.7474 -153.1402	-1.891 -158.290 84.392
item_ammo_smg1_ttt	435.2807 -287.9400 -125.5054	0.001 112.229 -0.471
item_ammo_smg1_ttt	462.1285 -389.2574 -127.5534	0.095 -0.003 0.064
item_ammo_smg1_ttt	444.1125 -347.5421 -95.5799	0.420 -0.004 0.270
weapon_zm_shotgun	-1140.2520 -1875.7369 -143.0378	-0.246 95.529 -82.461
weapon_zm_shotgun	482.5173 2229.9956 66.2709	-0.308 8.023 83.939
weapon_zm_shotgun	1047.1063 755.4108 -177.6146	8.418 88.851 33.559
weapon_zm_shotgun	-285.4225 735.9821 90.7263	-0.907 109.789 -86.364
weapon_zm_shotgun	-21.9222 1828.6698 9.3044	2.813 0.029 -71.328
weapon_ttt_m16	549.1218 -509.0349 -39.6604	2.524 -31.950 -84.448
weapon_ttt_m16	-1282.8167 1049.2350 -140.6001	1.828 -2.163 -82.978
weapon_ttt_m16	-838.1417 -1347.1860 -21.6006	2.241 94.747 -86.409
weapon_ttt_m16	-427.3362 -101.1047 -150.8176	2.290 -8.028 84.480
weapon_zm_molotov	512.6152 -281.4469 -119.3669	2.275 91.924 1.037
weapon_zm_molotov	521.0335 -277.0598 -122.3368	-6.468 56.950 89.996
weapon_zm_molotov	-419.1292 2185.7915 -147.4032	0.143 -0.227 -0.025
weapon_zm_molotov	-766.6187 2067.1707 -77.5175	0.070 0.537 1.442
weapon_zm_molotov	-1178.9285 2028.5610 -150.1476	-63.345 -116.098 -90.067
weapon_zm_molotov	-1273.0145 1882.0160 -118.8769	4.441 -0.261 -2.720
weapon_zm_molotov	-1273.7429 992.3962 -137.2347	82.854 169.847 -89.885
weapon_zm_sledge	-507.6395 231.1388 49.2470	17.994 -1.200 2.330
weapon_zm_sledge	694.7985 2119.4802 156.4255	18.554 0.202 2.857
weapon_zm_sledge	-399.7716 2185.5000 -77.7168	18.124 66.258 3.480
weapon_zm_sledge	-1311.7645 1010.4110 -135.8044	1.404 34.623 88.390
item_box_buckshot_ttt	429.7417 -429.9045 -123.6202	0.049 -0.000 0.105
item_box_buckshot_ttt	676.4672 -468.9120 -127.5934	0.976 0.002 0.806
item_box_buckshot_ttt	676.2505 -422.1219 -127.5985	1.020 0.013 0.843
item_box_buckshot_ttt	615.9003 -743.5873 -113.6218	0.374 1.135 -14.775
item_box_buckshot_ttt	592.0327 -741.3964 -114.1725	0.389 1.173 -14.821
item_box_buckshot_ttt	936.5979 -584.9360 -143.6013	-0.923 -0.010 0.817
item_box_buckshot_ttt	933.7604 -560.0941 -143.5777	-0.213 -1.048 0.083
ttt_random_ammo	1002.7715 -797.3177 -151.6346	0.077 -0.000 -0.026
ttt_random_ammo	975.4946 -798.1566 -151.6207	0.168 -0.001 -0.145
ttt_random_ammo	987.3738 -755.8817 -149.4037	-0.431 -46.153 88.940
ttt_random_ammo	957.4728 1906.1019 130.7105	89.408 -38.981 143.586
ttt_random_ammo	513.1685 2459.0530 155.6059	-89.443 47.303 135.808
ttt_random_ammo	-1215.3250 1864.0181 -123.0499	-1.666 -0.926 1.142
ttt_random_ammo	-1385.9301 22.6912 8.3615	0.067 -0.000 -0.012
ttt_random_ammo	452.4991 -436.9699 -123.6274	0.068 0.000 0.016
ttt_random_ammo	904.6899 -600.6987 -110.6648	0.046 -0.000 0.026
ttt_random_ammo	979.0329 1902.6558 128.3809	0.192 -0.001 -0.174
ttt_random_ammo	959.3853 1879.8964 128.3491	0.051 -0.000 0.014
ttt_random_ammo	915.6467 1902.5344 128.3876	0.367 -0.002 -0.390
ttt_random_ammo	754.8585 2297.9543 168.7644	0.165 0.148 0.182
ttt_random_ammo	743.2027 2298.6650 168.7333	-0.132 0.110 -0.212
ttt_random_ammo	728.0814 2296.3374 168.6775	-0.324 -0.287 0.336
ttt_random_ammo	-550.2215 2056.1851 8.3673	0.083 0.000 0.034
ttt_random_ammo	-565.3603 2051.1543 8.3512	0.053 0.000 -0.011
ttt_random_ammo	-590.5834 2081.2578 8.3794	0.169 0.001 0.145
ttt_random_ammo	-590.2925 2123.6262 8.3727	0.109 0.000 0.069
ttt_random_ammo	-534.9438 1816.3124 8.3595	0.063 0.000 0.006
ttt_random_ammo	-893.9899 848.1562 56.4085	1.683 -0.034 -2.024
ttt_random_ammo	-899.9680 869.5635 56.3520	-0.052 -0.000 -0.011
ttt_random_ammo	-1107.4972 -227.4701 -151.6291	0.099 -0.000 -0.056
ttt_random_ammo	-1127.4524 -216.2623 -151.6291	0.099 -0.000 -0.056
ttt_random_ammo	-1095.9675 -185.3260 -151.6255	0.121 0.000 0.084
ttt_random_ammo	-458.1275 -2017.9381 -231.6600	0.047 -0.000 0.023
ttt_random_ammo	-480.7004 -2021.4243 -231.5536	-1.671 -0.036 2.031
ttt_random_ammo	-495.4441 -2020.7632 -231.6458	-0.055 -0.000 -0.007
ttt_random_ammo	-908.9442 -2018.6270 -231.6792	-0.047 -0.000 -0.034
ttt_random_ammo	-947.7332 -2026.4421 -231.5433	-1.224 -0.030 1.480
ttt_random_ammo	-931.4011 -1994.5179 -231.6569	-0.048 -0.000 -0.021
ttt_random_ammo	-1114.7953 -2025.5780 -151.6091	0.528 -0.004 -0.587
ttt_random_ammo	-1111.0120 -1995.9755 -151.6825	0.047 -0.000 0.035
ttt_random_ammo	-252.0318 -1076.3151 -135.6254	0.006 -2.101 -0.151
ttt_random_ammo	-279.1810 -1070.8257 -151.6425	0.060 -0.000 -0.001
ttt_random_ammo	-231.8269 -694.2651 -151.6239	0.134 -0.000 -0.101
ttt_random_ammo	-235.8140 -661.8569 -151.6354	-0.072 -0.000 0.019
ttt_random_ammo	919.7296 1037.9152 -98.6885	0.071 -0.489 5.018
ttt_random_ammo	920.6511 1059.2968 -97.3610	0.081 -0.546 5.253
ttt_random_ammo	594.0346 1625.9331 48.3825	0.210 0.001 0.197
ttt_random_ammo	594.7883 1676.0946 48.3400	0.047 0.000 -0.023
ttt_random_ammo	487.6117 2542.1030 0.4066	-0.825 -0.009 0.950
ttt_random_ammo	-386.2219 1925.7053 -151.6162	0.231 -0.001 -0.225
ttt_random_ammo	-396.4612 1945.8270 -151.6291	0.095 -0.000 -0.053
ttt_random_ammo	1010.3669 -51.8629 -151.6238	0.136 0.000 0.103
ttt_random_ammo	1021.8318 -75.8942 -151.5404	-0.398 0.988 -0.186
ttt_random_ammo	1004.4157 789.2847 -191.6087	0.539 0.004 0.601
ttt_random_ammo	990.1810 775.9937 -191.5787	1.499 0.035 1.806
ttt_random_ammo	1012.5840 766.1861 -191.6648	0.046 0.000 -0.027
ttt_random_ammo	993.5103 748.7808 -191.6405	0.063 0.000 0.006
ttt_random_ammo	1015.5782 735.7703 -191.6327	0.083 -0.000 -0.035
ttt_random_ammo	1008.6650 2140.1558 0.3777	0.153 -0.001 -0.124
ttt_random_ammo	793.4363 2295.7263 128.3820	-0.167 -0.001 0.143
ttt_random_ammo	-316.5078 2509.7805 8.3635	0.071 0.000 0.018
ttt_random_ammo	-303.0082 2523.5139 16.9598	0.048 -3.515 -0.021
ttt_random_ammo	-291.2782 2539.9802 8.3762	0.135 0.000 0.102
ttt_random_ammo	-1.7014 1460.3008 -151.6222	0.151 0.001 0.122
ttt_random_ammo	-7.6804 1432.5536 -151.6222	0.150 0.001 0.122
ttt_random_ammo	-706.5370 1529.0160 8.3810	0.192 0.001 0.174
ttt_random_ammo	-237.2435 1070.1522 -151.6063	0.818 0.009 0.941
ttt_random_ammo	-1322.5970 944.4359 -159.6273	0.109 0.000 0.069
ttt_random_ammo	-829.0490 574.9542 8.3446	0.048 0.000 -0.019
ttt_random_ammo	-839.9766 584.8610 8.3923	0.604 0.005 0.681
ttt_random_ammo	-574.4195 544.4445 8.3328	0.046 -0.000 0.028
ttt_random_ammo	-728.3967 761.8077 20.1739	-0.050 -1.743 -0.014
ttt_random_ammo	-611.5919 664.0717 45.7507	-1.024 -0.025 1.633
ttt_random_ammo	-620.5783 621.8733 45.6201	0.042 -0.000 0.033
ttt_random_ammo	-609.9254 646.8564 8.3925	0.694 -0.006 -0.791
ttt_random_ammo	-270.7511 713.7833 8.3745	0.119 0.000 0.082
ttt_random_ammo	-271.5380 591.2497 8.4404	1.128 0.029 1.361
ttt_random_ammo	-287.9276 591.8741 8.3400	0.047 0.000 -0.023
ttt_random_ammo	-685.1108 150.0845 8.3490	0.050 -0.000 0.014
ttt_random_ammo	-717.9954 156.9891 8.3615	0.065 -0.000 -0.010
ttt_random_ammo	-719.7076 193.9515 8.4260	1.341 -0.032 -1.613
ttt_random_ammo	-688.9777 184.1059 8.3423	0.047 -0.000 0.021
ttt_random_ammo	-459.7062 150.5676 8.3783	-0.133 -0.000 0.101
ttt_random_ammo	-503.4249 146.5793 8.3584	-0.059 -0.000 0.001
ttt_random_ammo	-522.1290 185.4476 8.3285	-0.046 -0.000 -0.030
ttt_random_ammo	-470.9815 184.0680 8.3725	-0.098 -0.000 0.055
ttt_random_ammo	-647.6184 -115.8895 -31.6327	0.081 -0.000 -0.033
ttt_random_ammo	-425.7661 -93.7559 -31.6648	0.046 0.000 -0.026
ttt_random_ammo	-407.2272 -88.2193 -31.6773	0.046 0.000 -0.033
ttt_random_ammo	146.5186 -119.5486 -151.6198	-0.153 -0.001 0.124
ttt_random_ammo	149.7285 -92.3972 -151.6577	0.048 0.000 -0.021
ttt_random_ammo	182.1422 -80.3164 -151.5957	-0.726 -0.007 0.829
ttt_random_ammo	177.6863 -113.2664 -151.6446	0.057 0.000 -0.004
ttt_random_ammo	170.8212 -756.7217 -151.6374	-0.067 -0.000 0.012
ttt_random_ammo	150.5342 -726.7574 -151.6217	-0.136 -0.000 0.104
ttt_random_ammo	532.0616 -764.2946 -151.6488	0.052 0.000 -0.011
ttt_random_ammo	518.6624 -781.1090 -151.6290	0.099 0.000 0.056
ttt_random_ammo	1047.3112 -658.5111 -151.6088	0.547 0.004 0.610
ttt_random_ammo	1044.0436 -690.2698 -151.6799	0.047 0.000 -0.034
ttt_random_ammo	1056.3798 -731.3569 -151.5876	1.671 -0.035 -2.016
ttt_random_ammo	560.5037 -439.6945 -159.6385	0.067 -0.000 -0.012
ttt_random_ammo	916.9977 -272.2639 -143.5566	1.061 0.027 1.279
ttt_random_ammo	919.2105 -305.1447 -143.6721	0.046 -0.000 0.031
ttt_random_ammo	443.5293 -59.1561 -151.6273	0.109 0.000 0.069
ttt_random_ammo	562.1399 -65.8255 -151.6354	-0.006 -0.152 -0.151
weapon_zm_mac10	509.9614 2491.9214 153.2295	-0.122 -44.431 -88.589
weapon_zm_mac10	950.9022 1948.4192 48.2105	-0.131 -44.435 -88.530
weapon_zm_mac10	186.1682 441.7660 -86.7987	-0.171 -30.235 -88.297
weapon_zm_mac10	-835.2663 -1400.8463 -22.9963	0.150 -107.275 89.146
weapon_zm_mac10	-1137.9137 1305.4982 9.3725	0.410 -63.079 -88.601
item_ammo_357_ttt	677.4075 -300.0558 -124.0489	0.508 0.380 -14.738
item_ammo_357_ttt	664.2295 -299.7575 -124.1272	0.496 0.357 -14.793
item_ammo_357_ttt	643.2164 -712.2495 -121.4914	0.533 0.418 -14.604
item_ammo_357_ttt	623.5195 -711.5584 -121.6778	0.495 0.357 -14.805
item_ammo_357_ttt	604.4733 -712.3882 -121.4561	0.533 0.417 -14.596
item_ammo_357_ttt	585.1684 -711.7120 -121.6099	0.437 0.703 -14.502
item_ammo_357_ttt	570.8293 -711.9256 -121.5909	0.479 0.327 -14.878
item_ammo_revolver_ttt	627.8340 -726.9929 -117.8105	0.519 0.396 -14.677
item_ammo_revolver_ttt	604.3930 -726.4050 -117.9609	0.509 0.379 -14.728
item_ammo_revolver_ttt	583.6800 -720.6661 -119.4040	0.564 2.175 -14.506
item_ammo_revolver_ttt	158.7610 -606.2246 -135.3086	0.621 -0.324 0.041
ttt_playerspawn	-981.5305 -1672.0093 -151.5496	-0.109 -0.011 -0.071
ttt_playerspawn	-982.1215 -2029.5637 -151.5777	-0.130 0.024 -0.087
ttt_playerspawn	-902.2184 -1497.7650 -151.5822	0.024 -0.024 0.071
ttt_playerspawn	-1422.1077 72.5947 8.3457	0.015 -0.000 -0.015
ttt_playerspawn	-1122.2347 1249.4877 8.4084	-0.000 -0.007 0.011
ttt_playerspawn	-226.0865 1756.7145 -151.5666	-0.036 -0.236 -0.002
ttt_playerspawn	-99.8332 1939.8239 0.4193	-0.022 -0.000 0.022
ttt_playerspawn	-208.0841 2523.5510 8.4483	0.014 -0.006 0.001
ttt_playerspawn	617.2457 2511.2637 128.3610	-0.018 -0.000 0.018
ttt_playerspawn	957.0821 2325.4055 128.4111	-0.010 -0.000 0.010
ttt_playerspawn	978.6115 2411.1245 0.3473	-0.025 -0.000 0.025
ttt_playerspawn	933.6824 2314.6064 0.3975	-0.016 -0.000 0.016
ttt_playerspawn	644.7592 1413.0984 48.3702	0.021 0.000 0.021
ttt_playerspawn	765.7797 662.1911 -146.1605	-0.026 0.410 3.423
ttt_playerspawn	565.6785 -359.3772 -159.6077	-0.025 -0.000 0.025
ttt_playerspawn	374.4366 -464.3685 -159.6068	-0.024 -0.000 0.024
ttt_playerspawn	365.7979 -289.4016 -159.5463	-0.118 0.119 -0.265
ttt_playerspawn	170.3911 -651.7223 -151.6368	-0.035 -0.000 0.035
ttt_playerspawn	491.1067 -454.6548 -159.5893	-0.017 -0.000 0.017
ttt_playerspawn	739.0780 -417.4605 -159.6606	-0.009 -0.000 0.009
ttt_playerspawn	626.7194 -415.9296 -159.6115	-0.006 -0.000 0.006
ttt_playerspawn	629.3578 -453.3968 -159.6366	-0.008 -0.000 0.008
ttt_playerspawn	646.8718 -208.8128 -159.6045	-0.023 -0.000 0.023
ttt_playerspawn	531.5109 -222.5455 -159.6433	-0.033 -0.000 0.033
ttt_playerspawn	456.7147 -184.8074 -159.5445	0.004 -0.000 -0.004
ttt_playerspawn	172.5072 -508.0376 -151.6020	-0.021 -0.000 0.021
ttt_playerspawn	-814.8345 815.9247 8.4259	0.120 0.064 0.108
ttt_playerspawn	-549.0298 736.8636 8.4197	-0.003 0.000 -0.003
ttt_playerspawn	498.5916 -713.4183 -151.5663	0.115 0.069 0.147
ttt_playerspawn	362.2624 -390.6269 -159.6748	-0.010 -0.000 0.010
ttt_playerspawn	850.0000 -420.2555 -143.6304	-0.007 0.021 -0.014
weapon_zm_rifle	-423.1840 -1845.2935 -150.6736	2.836 99.492 66.611
weapon_zm_rifle	-638.0071 686.9779 161.3438	3.307 11.768 65.185
weapon_zm_rifle	-251.5085 2304.4419 148.0739	15.867 7.445 68.970
weapon_ttt_smokegrenade	-1034.1849 1716.6483 -107.0745	0.592 -0.056 -1.903
weapon_ttt_smokegrenade	422.5892 -483.1572 -118.3343	1.444 -0.232 -1.079
weapon_ttt_smokegrenade	422.0328 -477.1608 -121.1782	-87.616 46.372 90.176
weapon_ttt_smokegrenade	434.4738 -476.0876 -118.4016	2.408 -0.125 -2.428
weapon_ttt_confgrenade	638.2952 -291.7083 -124.0094	-15.424 -22.927 55.751
weapon_ttt_confgrenade	656.9739 -272.5255 -126.4317	-12.807 -18.312 -34.646
weapon_ttt_confgrenade	660.8195 -274.6328 -127.6210	63.534 -107.416 -158.847
