# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_militia
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_ttt_glock	483.9062 329.8540 -15.7118	0.017 35.158 87.932
weapon_zm_pistol	192.8687 204.5159 -15.7118	0.017 137.897 87.932
weapon_zm_pistol	164.6258 472.7344 19.4036	0.017 150.987 87.932
weapon_zm_pistol	697.2554 712.4659 -15.7118	0.017 -40.272 87.932
weapon_zm_pistol	609.2955 1080.1144 -15.7118	0.017 40.578 87.932
weapon_ttt_glock	209.7331 1100.3546 -15.7118	0.017 45.997 87.932
weapon_zm_pistol	114.2445 436.9356 -15.7118	0.017 -33.202 87.932
weapon_zm_pistol	1841.2584 -2241.4580 -159.7118	0.017 5.157 87.932
weapon_zm_pistol	1718.6400 -2241.6177 -159.7118	0.017 5.157 87.932
weapon_ttt_glock	1786.1508 -2319.7478 -165.3935	0.017 5.157 87.932
item_ammo_pistol_ttt	110.1330 1091.6479 8.5163	-0.138 178.041 -0.042
item_ammo_pistol_ttt	109.8544 1112.3057 8.5163	-0.138 178.481 -0.042
item_ammo_pistol_ttt	121.1456 1127.1085 8.5163	-0.138 -90.879 -0.042
item_ammo_pistol_ttt	719.5806 1245.3540 -15.6594	-0.138 92.021 -0.042
item_ammo_pistol_ttt	718.3456 1237.9440 -15.6594	-0.138 92.021 -0.042
item_ammo_pistol_ttt	720.0491 1230.2358 -15.6594	-0.138 92.021 -0.042
item_ammo_pistol_ttt	214.8385 355.4766 -151.6594	-0.138 168.881 -0.042
item_ammo_pistol_ttt	206.8354 355.5518 -151.6594	-0.138 168.881 -0.042
item_ammo_pistol_ttt	198.8433 355.3690 -151.6594	-0.138 -179.019 -0.042
item_ammo_pistol_ttt	859.7453 -2629.2898 -171.7688	-0.138 -4.559 -0.042
item_ammo_pistol_ttt	868.6268 -2630.3755 -171.9225	-0.138 -3.019 -0.042
item_ammo_pistol_ttt	917.2897 -2387.0815 -203.6961	-0.138 173.061 -0.042
item_ammo_pistol_ttt	938.8900 -2391.3523 -203.4269	-0.138 171.961 -0.042
item_ammo_pistol_ttt	495.0858 346.4885 -15.6594	-0.138 -175.579 -0.042
item_ammo_pistol_ttt	171.5392 207.6802 -15.6594	-0.138 -89.119 -0.042
item_ammo_pistol_ttt	169.1314 199.0148 -15.6594	-0.138 -81.969 -0.042
item_ammo_pistol_ttt	182.8444 492.0893 19.4560	-0.138 -83.839 -0.042
item_ammo_pistol_ttt	182.8444 500.8252 19.4560	-0.138 -83.839 -0.042
item_ammo_pistol_ttt	169.8196 509.7416 19.4560	-0.138 -83.839 -0.042
item_ammo_pistol_ttt	708.3173 722.9352 -15.6594	-0.138 87.871 -0.042
item_ammo_pistol_ttt	597.4979 1103.6331 -15.6594	-0.138 -178.861 -0.042
item_ammo_pistol_ttt	610.5353 1102.7262 -15.6594	-0.138 -177.859 -0.042
item_ammo_pistol_ttt	621.9809 1102.7262 -15.6594	-0.138 -177.859 -0.042
item_ammo_pistol_ttt	203.3103 1127.2069 -15.6594	-0.138 178.541 -0.042
item_ammo_pistol_ttt	213.6882 1128.1008 -15.6594	-0.138 178.541 -0.042
item_ammo_pistol_ttt	228.3601 1130.0105 -15.6594	-0.138 178.541 -0.042
item_ammo_pistol_ttt	116.0162 417.7257 -15.6594	-0.138 94.066 -0.042
item_ammo_pistol_ttt	115.9480 407.2903 -15.6594	-0.138 98.021 -0.042
item_ammo_pistol_ttt	118.8099 396.3628 -15.6594	-0.138 98.021 -0.042
item_ammo_pistol_ttt	1730.9233 -2223.2271 -159.6594	-0.138 133.301 -0.042
item_ammo_pistol_ttt	636.3969 1640.8530 -303.1673	-3.864 0.230 -5.646
item_ammo_pistol_ttt	622.7297 1639.3009 -303.6687	-2.408 -0.485 -6.120
item_ammo_pistol_ttt	607.4545 1640.4142 -304.5639	-2.499 -0.275 -6.295
item_ammo_pistol_ttt	593.9838 1639.5763 -305.0766	-2.588 0.069 -6.353
item_ammo_pistol_ttt	582.5426 1638.5908 -305.5804	-1.923 -0.182 -6.323
item_ammo_pistol_ttt	569.9137 1637.6646 -305.2393	1.322 0.289 -6.498
item_ammo_pistol_ttt	560.3990 1637.7700 -304.8276	1.288 0.365 -7.589
item_ammo_pistol_ttt	549.4492 1638.6667 -304.4086	0.832 0.714 -8.285
item_ammo_pistol_ttt	538.3585 1639.3861 -304.0166	0.894 0.821 -9.263
item_ammo_pistol_ttt	1452.0170 -459.7774 -156.0593	6.434 -0.292 -5.425
item_ammo_pistol_ttt	1466.7384 -468.1344 -154.2547	-6.246 0.179 -14.388
item_ammo_pistol_ttt	1482.2500 -479.1189 -150.4355	-0.816 -0.063 -15.059
item_ammo_pistol_ttt	1475.7639 -478.3536 -150.7381	-1.211 -1.492 -15.061
item_ammo_pistol_ttt	1498.3281 -475.9506 -151.0538	-0.752 0.714 -15.215
item_ammo_pistol_ttt	1523.8895 -476.0593 -150.5856	-0.324 -0.677 -15.144
weapon_zm_revolver	453.0339 1829.1267 -158.0963	2.576 -20.508 -83.341
weapon_zm_revolver	881.2643 1249.8356 -317.8382	2.576 54.512 -83.341
weapon_zm_revolver	1027.1172 -578.1314 -320.2918	2.576 -105.648 -83.341
weapon_zm_revolver	2024.9866 -2056.9065 -158.0963	2.576 20.412 -83.341
weapon_zm_revolver	1966.0415 -1999.6292 -158.0963	2.576 20.412 -83.341
weapon_zm_revolver	245.0521 396.5585 -150.0963	2.576 -125.088 -83.341
weapon_zm_revolver	521.7613 787.5387 -150.0963	2.576 48.352 -83.341
weapon_zm_revolver	575.1663 949.2906 -120.9487	2.576 161.212 -83.341
weapon_zm_revolver	323.8186 1376.5126 -14.0963	2.576 118.532 -83.341
weapon_zm_revolver	460.1335 1125.8694 -14.0963	2.576 10.872 -83.341
weapon_zm_revolver	374.0703 327.2932 4.2215	2.576 87.652 -83.341
ttt_random_weapon	425.4308 835.5910 15.2923	1.936 5.440 -92.155
ttt_random_weapon	318.6286 861.1105 -8.8626	-2.138 18.502 86.131
ttt_random_weapon	113.2008 603.8423 -7.1807	1.786 5.213 -92.801
ttt_random_weapon	583.1168 571.1635 -9.2863	1.683 3.777 -93.036
ttt_random_weapon	507.8371 412.9098 -0.6756	1.747 7.191 -92.891
ttt_random_weapon	680.2136 606.9248 -137.6699	1.857 -0.132 -92.638
ttt_random_weapon	196.9744 669.4700 -59.3168	0.787 2.431 -95.409
ttt_random_weapon	633.8334 980.0899 -111.6240	2.030 3.176 -92.241
ttt_random_weapon	764.6887 690.1481 -134.6234	1.791 13.512 -92.790
ttt_random_weapon	1174.2825 690.2046 -75.4068	8.600 8.843 -85.652
ttt_random_weapon	1269.8114 389.7195 -137.8689	1.687 14.085 -93.029
ttt_random_weapon	1214.7279 395.5450 -150.7693	1.529 4.914 -93.390
ttt_random_weapon	755.1369 582.1863 130.8271	-0.541 4.810 63.267
ttt_random_weapon	1287.0713 491.4915 164.3798	-5.091 -62.252 117.108
ttt_random_weapon	1274.9625 -67.6507 -136.1384	-0.821 8.354 -99.021
ttt_random_weapon	995.7659 -338.5067 -296.7093	13.577 -35.600 100.009
ttt_random_weapon	903.1481 -1561.6516 -345.8159	2.571 2.064 -96.708
ttt_random_weapon	2562.8198 -1991.4980 -136.9888	2.897 -1.253 -90.964
ttt_random_weapon	-92.3736 -823.2643 -121.3876	19.266 5.165 -94.472
ttt_random_weapon	164.4020 163.9083 -128.7675	11.868 3.210 -102.484
item_ammo_smg1_ttt	21.4650 945.0375 8.6764	0.825 90.189 -0.618
item_ammo_smg1_ttt	21.2882 933.8330 8.6764	0.825 90.409 -0.618
item_ammo_smg1_ttt	410.4763 393.0125 -151.4994	0.825 89.528 -0.618
item_ammo_smg1_ttt	411.1610 414.7079 -151.4994	0.825 89.528 -0.618
item_ammo_smg1_ttt	673.7227 1141.5494 -151.4994	0.825 -90.432 -0.618
item_ammo_smg1_ttt	1354.2992 383.3529 -157.4776	0.825 -86.472 -0.618
item_ammo_smg1_ttt	1356.5452 358.1692 -155.8641	0.825 -87.572 -0.618
item_ammo_smg1_ttt	1010.4488 -2623.5037 -180.2981	0.825 174.888 -0.618
item_ammo_smg1_ttt	425.6527 1636.8998 -304.7611	-3.808 0.017 -0.575
item_ammo_smg1_ttt	408.7776 1638.9122 -304.7119	3.269 -0.426 -0.636
item_ammo_smg1_ttt	392.5482 1637.9541 -303.9008	3.055 -0.421 0.177
item_ammo_smg1_ttt	376.4050 1636.5786 -303.1355	3.605 0.246 0.874
item_ammo_smg1_ttt	1285.3146 -476.0794 -150.6051	-4.582 0.346 -1.248
item_ammo_smg1_ttt	1300.3462 -474.8642 -150.1211	-1.728 -0.168 -1.103
item_ammo_smg1_ttt	1317.3004 -466.7402 -149.5830	-4.088 -0.185 -0.860
item_ammo_smg1_ttt	1335.8580 -456.4821 -149.0194	-3.755 -0.094 -2.318
weapon_zm_shotgun	394.0659 1940.4561 -123.1977	-0.663 9.101 90.276
weapon_zm_shotgun	101.9593 1018.0671 -106.2568	-0.663 -93.939 90.276
weapon_zm_shotgun	1300.4379 437.0048 -22.5760	-0.663 -83.599 90.276
weapon_zm_shotgun	454.4176 -1890.3120 -149.7915	-0.663 -42.459 90.276
weapon_zm_shotgun	1071.0051 -2612.9487 -184.3978	-0.663 178.501 90.276
weapon_ttt_m16	130.0922 1108.3187 9.3270	2.121 -96.325 84.210
weapon_ttt_m16	716.8104 1260.7223 -14.8487	2.121 86.795 84.210
weapon_ttt_m16	275.0085 351.2175 -150.8487	2.121 178.835 84.210
weapon_ttt_m16	941.7004 -2416.4136 -202.8938	2.121 167.615 84.210
weapon_ttt_m16	860.6079 -2607.6357 -172.1362	2.121 -5.605 84.210
weapon_zm_molotov	726.9695 -2580.7563 -172.2366	3.956 -0.388 -2.873
weapon_zm_molotov	762.0701 -2582.5283 -170.3461	-4.010 -0.802 6.069
