# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: cs_office
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_ttt_glock	-823.8969 257.3325 -366.4171	0.163 -39.565 -89.892
weapon_zm_pistol	-203.8088 -1811.8158 -209.6388	0.420 36.654 89.151
weapon_zm_pistol	1919.6064 -533.3892 -147.1351	1.199 0.302 88.347
weapon_zm_pistol	1930.1294 236.4809 -147.1440	-0.524 -117.985 91.771
weapon_ttt_glock	1819.2249 -80.6581 -147.1316	0.333 46.081 89.711
weapon_zm_pistol	1598.4617 -551.5573 -79.6214	0.046 63.654 89.676
weapon_zm_pistol	1332.7009 -641.1542 -158.5279	-0.138 -55.007 -90.614
weapon_zm_pistol	-819.9200 380.9683 -366.4535	-0.267 -40.764 -90.809
weapon_ttt_glock	-975.5503 -1466.8541 -326.4823	-0.833 -38.038 -91.104
weapon_zm_pistol	-744.2202 -332.3207 -158.5327	0.003 -27.113 -87.478
weapon_zm_pistol	-827.8621 -335.6659 -155.9201	36.216 0.573 1.401
weapon_ttt_glock	-260.4275 481.5082 -159.6592	-0.077 174.662 91.369
item_ammo_pistol_ttt	199.6348 -1911.0483 -209.6312	-0.114 -0.020 -0.034
item_ammo_pistol_ttt	1485.4752 -107.5802 -153.5027	-0.125 -0.020 -0.030
item_ammo_pistol_ttt	1481.9551 -662.1121 -127.5159	0.340 -0.998 -0.109
item_ammo_pistol_ttt	1490.3196 -661.9898 -127.5261	0.814 1.926 -0.010
item_ammo_pistol_ttt	1599.8047 -646.1192 -153.4005	0.891 6.826 -0.001
item_ammo_pistol_ttt	1585.3038 -652.2542 -153.4324	1.541 4.480 -0.003
item_ammo_pistol_ttt	1424.5378 -655.1461 -127.4403	0.000 43.675 0.040
item_ammo_pistol_ttt	1406.3055 -656.1986 -124.6574	89.474 138.267 -114.273
item_ammo_pistol_ttt	465.4028 582.2382 -159.5343	0.042 -88.633 -0.229
item_ammo_pistol_ttt	476.4209 582.3278 -148.0375	-0.195 -90.001 -0.250
item_ammo_pistol_ttt	448.9083 545.6504 -156.7039	88.898 -177.494 -176.665
item_ammo_pistol_ttt	487.2074 582.8698 -148.4978	-0.152 -89.188 179.868
item_ammo_pistol_ttt	281.2731 -1510.5634 -215.1156	-0.256 0.123 -0.061
item_ammo_pistol_ttt	280.8840 -1491.9343 -215.1692	-0.354 -0.031 -0.147
item_ammo_pistol_ttt	277.8578 -1471.6998 -215.0967	-0.064 -0.020 -0.017
item_ammo_pistol_ttt	1492.8660 -175.8145 -127.5027	1.571 52.594 -0.063
item_ammo_pistol_ttt	1311.4968 33.0003 -129.6372	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	1020.7749 -1133.9208 -230.8560	-0.072 -0.020 -0.020
item_ammo_pistol_ttt	-808.1042 -456.9825 -332.1154	-78.475 -8.916 11.343
item_ammo_pistol_ttt	-802.7493 -456.4425 -333.2371	-19.715 1.440 1.330
item_ammo_pistol_ttt	-865.4142 -332.0893 -146.6278	-0.281 -90.075 -166.297
item_ammo_pistol_ttt	-871.5550 -332.7041 -135.8034	-0.185 -89.659 14.089
item_ammo_pistol_ttt	-843.6684 -332.3083 -137.2581	1.639 -88.488 98.302
