# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_aztec
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_ttt_glock	2194.6265 15.4606 -223.6733	-0.075 35.976 88.923
weapon_zm_pistol	2942.1348 490.6540 -191.6999	-0.111 36.009 88.477
weapon_ttt_glock	2962.1553 439.8782 -191.7339	-0.157 36.020 87.907
weapon_zm_pistol	2945.4473 413.2955 -191.7177	-0.135 36.017 88.180
weapon_ttt_glock	2962.3430 -486.1141 -191.7077	-0.121 36.013 88.347
weapon_zm_pistol	2956.3506 -445.1494 -191.7357	-0.159 36.021 87.878
weapon_zm_pistol	2958.4795 -409.5893 -191.7339	-0.157 36.020 87.907
weapon_zm_pistol	2304.7107 1327.9196 -382.3016	2.414 -50.712 -87.177
weapon_zm_pistol	2355.5647 1272.6486 -382.4877	-0.015 -35.705 -90.008
weapon_ttt_glock	2420.7881 1316.2626 -382.2075	-0.720 -39.382 -96.204
weapon_zm_pistol	2545.4272 1354.0406 -383.6058	0.346 -151.982 89.879
weapon_zm_pistol	-1366.1554 -1254.3928 -222.5680	-0.144 -41.430 -88.075
weapon_zm_pistol	-1418.5846 -1325.0327 -223.6818	-0.773 174.894 91.232
weapon_ttt_glock	-2576.7847 -537.1508 -159.7132	0.018 35.158 87.903
weapon_zm_pistol	-2558.6191 -526.6346 -159.7062	0.017 35.155 88.044
weapon_zm_pistol	-2578.9194 -498.0286 -159.6998	0.016 35.151 88.176
weapon_zm_pistol	-2914.1743 541.5803 -230.4892	-0.991 -35.100 -91.141
weapon_zm_pistol	-2941.2180 541.4643 -230.4882	-0.976 -35.101 -91.121
weapon_ttt_glock	-2946.5110 522.3727 -230.4683	-0.700 -35.089 -90.751
weapon_zm_pistol	-1206.0215 -480.9345 -177.4167	-2.297 35.687 93.611
weapon_zm_pistol	-385.3812 -470.3056 -217.5399	-7.102 -36.237 -91.940
weapon_zm_pistol	-398.5074 -469.7993 -218.1168	-7.194 -36.727 -94.738
weapon_ttt_glock	-409.7167 -469.2255 -218.8362	-7.905 -43.247 -92.872
weapon_zm_pistol	193.7180 -267.1250 -177.7741	2.944 35.894 93.645
weapon_ttt_glock	2180.1746 331.7266 -223.7050	-0.118 36.008 88.392
weapon_zm_pistol	2239.3972 409.6481 -283.5077	2.688 -59.367 91.904
weapon_ttt_glock	-1103.2887 383.9377 -63.7024	0.016 35.151 88.124
item_ammo_pistol_ttt	-1259.6349 -1645.6825 -223.5851	-0.073 -0.020 -0.022
item_ammo_pistol_ttt	-1225.8812 -1632.0166 -223.6824	-0.158 -0.017 -0.048
item_ammo_pistol_ttt	-1241.5975 -1613.7057 -223.5614	-0.053 -0.020 -0.016
item_ammo_pistol_ttt	-1466.6278 -1001.6151 -223.5903	-0.078 -0.020 -0.024
item_ammo_pistol_ttt	-1484.4797 -1009.4285 -223.6718	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	-1464.8621 -1043.5563 -223.6033	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	-2014.2792 -1306.4109 -218.1959	75.440 -175.941 179.522
item_ammo_pistol_ttt	-1994.2706 -1308.5524 -223.5733	-0.063 -0.020 -0.019
item_ammo_pistol_ttt	-2024.1433 -1320.8217 -215.3931	73.441 -178.902 174.254
item_ammo_pistol_ttt	-3000.3372 -1187.9303 -223.0192	0.784 0.150 -0.574
item_ammo_pistol_ttt	-2995.8784 -1213.6782 -222.5752	0.616 0.312 -1.233
item_ammo_pistol_ttt	-2968.7461 -1202.1631 -223.1187	0.338 -0.115 -1.307
item_ammo_pistol_ttt	-2455.4260 32.9996 -311.7157	-7.538 -0.197 0.361
item_ammo_pistol_ttt	-2460.3472 5.8307 -312.6219	-7.601 -0.197 0.362
item_ammo_pistol_ttt	-2462.2424 -18.2593 -313.0688	-7.640 0.496 0.294
item_ammo_pistol_ttt	-3019.9553 553.9225 -292.5639	68.683 -170.667 177.202
item_ammo_pistol_ttt	-3039.5828 548.8377 -291.0966	7.769 0.508 8.568
item_ammo_pistol_ttt	-3031.1643 534.5977 -294.2217	7.999 0.534 8.571
item_ammo_pistol_ttt	-2818.6418 1082.3787 -313.1909	0.691 -0.076 -2.036
item_ammo_pistol_ttt	-2811.2749 1115.8743 -314.5846	0.092 0.336 -3.229
item_ammo_pistol_ttt	-2807.7966 1094.3756 -313.7957	0.641 -0.070 -2.051
