# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_cbble
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_ttt_glock	752.9896 -502.1392 32.2896	-0.125 36.013 88.301
weapon_zm_pistol	680.5775 -502.1523 32.2777	-0.141 36.020 88.102
weapon_zm_pistol	579.8336 -472.9368 32.3089	0.369 36.802 88.104
weapon_zm_pistol	284.3624 -244.2633 32.3272	-0.728 36.915 90.940
weapon_ttt_glock	-308.8166 -425.6903 32.2695	-0.152 36.021 87.965
weapon_zm_pistol	-713.7917 -293.9733 16.6342	-0.106 32.880 88.885
weapon_zm_pistol	-669.4055 -335.0143 1.4520	-0.051 -50.711 -87.507
weapon_zm_pistol	-496.7171 108.5578 64.3503	0.641 36.686 88.783
weapon_ttt_glock	-493.4591 78.1809 64.4149	0.930 128.163 89.926
weapon_zm_pistol	-505.8953 88.1324 64.3847	0.125 -146.738 89.925
weapon_zm_pistol	-548.4595 561.5083 41.3508	0.631 36.683 88.799
weapon_zm_pistol	-583.7256 584.6192 42.3862	-0.782 -39.889 -88.009
weapon_ttt_glock	-551.7004 586.5585 42.4141	-0.288 -39.444 -88.387
weapon_zm_pistol	-719.1284 605.6022 40.8084	-0.317 35.955 91.026
weapon_zm_pistol	-793.1403 956.2070 64.2669	-1.607 -162.253 92.033
weapon_zm_pistol	-815.2137 961.4320 75.9778	-0.510 -34.563 -91.054
weapon_ttt_glock	-783.6307 947.4138 68.7532	1.755 -20.633 -143.700
weapon_zm_pistol	-787.2114 1077.1697 105.8755	-1.474 -36.152 -92.001
weapon_zm_pistol	-1234.6885 1456.2852 128.3697	0.247 36.608 89.437
weapon_ttt_glock	-1239.5493 1430.6198 128.3578	0.488 36.667 89.037
weapon_zm_pistol	-1207.2933 1456.7277 128.3517	0.612 36.684 88.830
weapon_zm_pistol	-1214.4489 1442.7891 128.3503	0.641 36.686 88.783
weapon_ttt_glock	-850.3532 1283.6168 105.3344	-0.450 43.948 91.068
item_ammo_pistol_ttt	-1138.8381 2482.2490 152.4569	-0.036 -0.021 -0.008
item_ammo_pistol_ttt	-1146.0122 2485.2253 128.3818	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	-1136.6606 2484.5750 128.4198	-0.069 -0.020 -0.021
item_ammo_pistol_ttt	-1147.3436 2509.1025 128.3521	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	-1137.8912 2508.7471 128.3727	-0.110 -0.019 -0.033
item_ammo_pistol_ttt	1448.3386 -1353.6924 0.4367	-0.005 0.640 -0.307
item_ammo_pistol_ttt	1427.4331 -1356.2941 0.4719	0.539 -0.805 0.000
item_ammo_pistol_ttt	1433.3314 -1368.0735 0.4426	0.307 -0.937 -0.266
item_ammo_pistol_ttt	-954.0183 1323.9117 64.4210	-0.068 -0.020 -0.021
item_ammo_pistol_ttt	-1141.3228 980.8085 64.3997	-0.086 -0.020 -0.026
item_ammo_pistol_ttt	-1414.0583 1452.9962 64.3333	-0.145 -0.018 -0.044
item_ammo_pistol_ttt	-1393.0939 1454.4963 64.3777	-0.222 -0.017 -0.118
item_ammo_pistol_ttt	-1374.0514 1452.2244 64.3307	-0.147 -0.018 -0.044
item_ammo_pistol_ttt	-1357.6754 1452.7688 64.3499	-0.130 -0.019 -0.039
item_ammo_pistol_ttt	-1489.7819 1431.2267 160.3282	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	-1524.3326 1433.9337 160.3887	-0.096 -0.020 -0.029
item_ammo_pistol_ttt	-1549.8319 1434.3064 160.3282	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	-1535.5568 1413.6116 160.3543	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	-1509.2504 1417.6379 160.4622	-0.032 -0.020 -0.010
item_ammo_pistol_ttt	-1521.5807 1403.5261 160.3358	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	-2550.1182 929.2770 0.3430	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	-2563.0164 932.0817 0.4256	-0.064 -0.020 -0.019
item_ammo_pistol_ttt	-2573.8425 932.6866 0.3920	-0.093 -0.020 -0.028
item_ammo_pistol_ttt	489.8053 2438.9038 -255.6147	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	491.8476 2415.9170 -255.6479	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	507.1507 2412.8193 -255.6096	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	527.0796 2411.2866 -255.6479	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	520.9255 2394.2725 -255.5393	-0.589 0.136 -0.424
item_ammo_pistol_ttt	500.4971 2392.8452 -255.6435	-0.124 -0.019 -0.038
item_ammo_pistol_ttt	489.9189 2390.6685 -255.6642	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	502.0667 2359.8174 -255.5890	-0.077 -0.020 -0.023
item_ammo_pistol_ttt	239.8691 2064.4697 40.7446	-0.669 0.123 -0.006
item_ammo_pistol_ttt	-783.4431 1010.1097 112.3746	-0.108 -0.020 -0.033
item_ammo_pistol_ttt	-804.4721 1002.4255 112.3543	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	-789.0450 1038.3519 104.9354	-0.062 -0.100 0.009
item_ammo_pistol_ttt	-800.0259 1040.9382 104.8488	-0.129 -0.335 0.003
item_ammo_pistol_ttt	-1155.7117 978.0723 64.3453	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	-1165.6061 977.6888 64.3727	-0.110 -0.019 -0.033
item_ammo_pistol_ttt	-1174.8787 977.2010 64.3668	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	-944.3535 1327.7091 64.3521	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	-930.1035 1328.3267 64.3648	-0.117 -0.019 -0.035
item_ammo_pistol_ttt	-918.3630 1328.5154 64.3904	-0.095 -0.020 -0.029
weapon_zm_revolver	-909.6664 2150.7478 170.4432	2.535 46.916 -84.967
weapon_zm_revolver	-734.7581 330.2971 1.9690	3.365 27.089 -83.250
weapon_zm_revolver	-575.4072 564.3923 43.0905	3.004 -53.054 -87.083
weapon_zm_revolver	81.6330 -465.3648 -121.4648	-1.100 29.968 90.730
weapon_zm_revolver	-1197.4709 -794.3123 -126.0848	2.442 -20.370 -83.801
