# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_chateau
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_ttt_glock	2288.6133 978.1218 153.4016	-0.406 -45.030 -88.547
weapon_zm_pistol	1979.5873 1482.9640 168.9332	-5.291 -34.018 -92.597
weapon_zm_pistol	2021.3778 1211.2047 195.7025	0.706 -33.991 -88.629
weapon_ttt_glock	2134.7827 1371.9153 11.8284	-0.772 -38.301 -87.951
weapon_zm_pistol	2156.6184 1417.1675 11.9512	-0.791 -36.448 -91.295
weapon_zm_pistol	2058.2136 1415.4480 15.3484	-11.093 -37.760 -90.721
weapon_zm_pistol	2073.7498 1318.6984 1.5765	0.122 133.425 -90.201
weapon_zm_pistol	2025.8563 1389.5970 37.5260	0.142 -40.887 -88.583
weapon_ttt_glock	2099.5039 1441.9498 36.3694	0.255 36.608 89.425
weapon_zm_pistol	1467.0825 1002.5947 27.0148	4.271 -39.438 -93.909
weapon_zm_pistol	2798.1187 398.7404 -159.7207	-0.100 36.062 88.138
weapon_ttt_glock	2728.5984 749.7184 -159.6987	-0.078 36.054 88.505
weapon_zm_pistol	2354.4702 714.2200 -159.7132	0.046 34.807 87.879
weapon_zm_pistol	1614.2664 649.1154 -159.6750	0.028 34.779 88.670
weapon_zm_pistol	1220.2327 831.9912 -159.6741	0.027 34.779 88.688
weapon_ttt_glock	1203.9414 321.6219 -156.9964	26.924 2.502 46.757
weapon_zm_pistol	946.3319 2426.2178 1.4355	-0.990 -46.652 -89.592
weapon_zm_pistol	1191.7361 2350.9075 14.1080	-0.798 -36.203 -97.211
weapon_ttt_glock	1184.4277 2323.0940 14.3302	8.826 41.249 97.866
weapon_zm_pistol	1158.3135 2391.0081 4.4773	-26.733 -41.168 -92.553
weapon_zm_pistol	1162.8258 2362.9192 11.9064	-3.782 -34.856 -88.750
weapon_zm_pistol	1321.2340 1949.2151 0.3105	0.013 35.138 88.388
weapon_ttt_glock	2026.7825 1353.1688 36.2937	0.147 36.828 87.935
weapon_zm_pistol	2022.6685 1084.4653 36.3612	0.420 36.654 89.151
weapon_zm_pistol	2017.7990 1053.2753 36.3452	0.745 36.684 88.609
weapon_zm_pistol	2074.0845 996.1860 36.3647	0.350 36.640 89.266
weapon_ttt_glock	2109.3889 992.7827 36.3285	-0.603 169.811 91.073
weapon_zm_pistol	2360.5923 1000.1648 36.3512	0.621 36.684 88.815
weapon_ttt_glock	2395.2915 996.4632 36.3539	0.568 36.679 88.905
item_ammo_pistol_ttt	1491.9941 -1196.8358 -57.4815	0.160 -1.261 -17.865
item_ammo_pistol_ttt	1479.0488 -1197.6205 -57.2204	0.044 -1.224 -17.843
item_ammo_pistol_ttt	1483.8691 -1175.1444 -64.4489	-1.424 -4.752 -18.093
item_ammo_pistol_ttt	1495.7952 -1169.6802 -66.1914	0.235 -1.284 -17.879
item_ammo_pistol_ttt	1487.1234 -1128.6124 -78.8170	-3.545 2.406 -15.626
item_ammo_pistol_ttt	1495.3502 -1123.1165 -79.8459	-3.486 0.047 -14.363
item_ammo_pistol_ttt	1462.5922 -1148.2118 -73.0637	0.130 -1.251 -17.859
item_ammo_pistol_ttt	1464.3685 -1180.2072 -62.8196	0.262 -1.292 -17.885
item_ammo_pistol_ttt	1431.6432 -1164.2832 -73.1753	-64.371 138.183 -124.372
item_ammo_pistol_ttt	1435.3322 -1138.2166 -80.2152	-63.978 138.530 -125.842
item_ammo_pistol_ttt	1423.7739 -1207.2054 -62.1758	-64.357 137.969 -124.174
item_ammo_pistol_ttt	1512.8256 -1205.8373 -54.6227	0.481 -1.356 -17.926
item_ammo_pistol_ttt	1520.3129 -1174.2322 -64.5130	-4.772 1.370 -17.769
item_ammo_pistol_ttt	1518.3676 -1145.0626 -72.6180	-3.530 0.060 -14.363
item_ammo_pistol_ttt	1497.4611 -1143.5583 -74.1390	-3.756 2.326 -16.486
item_ammo_pistol_ttt	1531.7246 -1108.8600 -80.9700	-3.596 0.078 -14.363
item_ammo_pistol_ttt	1550.7799 -1130.5353 -74.0964	-3.444 0.034 -14.364
item_ammo_pistol_ttt	1545.7836 -1160.4414 -66.7712	-3.524 0.058 -14.363
item_ammo_pistol_ttt	1546.6719 -1189.4412 -59.1977	-3.856 2.284 -14.995
item_ammo_pistol_ttt	1565.3632 -1181.8152 -59.9381	-3.383 0.014 -14.364
item_ammo_pistol_ttt	1605.0645 1112.6837 208.3406	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	1577.3009 1111.5267 208.3920	-0.093 -0.020 -0.028
item_ammo_pistol_ttt	1366.5458 1035.6702 208.4041	-0.083 -0.020 -0.025
item_ammo_pistol_ttt	1341.4175 1041.8015 208.3282	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	1330.8070 1073.0150 208.3607	-0.121 -0.019 -0.036
item_ammo_pistol_ttt	967.6175 -125.7776 211.2406	-89.986 -179.429 180.000
item_ammo_pistol_ttt	933.6166 -150.3917 208.3801	0.104 0.020 -0.031
item_ammo_pistol_ttt	882.7943 -150.5386 208.4339	-0.057 -0.020 -0.017
item_ammo_pistol_ttt	849.3723 -144.5251 208.3707	-0.112 -0.019 -0.034
item_ammo_pistol_ttt	719.0197 368.6492 236.3819	-0.489 0.118 -0.221
item_ammo_pistol_ttt	744.9249 340.4020 236.3476	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	766.0915 420.7455 236.3438	0.383 -0.073 0.041
item_ammo_pistol_ttt	709.9747 438.2242 236.4149	-0.073 -0.020 -0.022
item_ammo_pistol_ttt	776.2080 386.4105 236.3256	-0.151 -0.018 -0.046
weapon_zm_revolver	7.5227 855.5001 25.9477	2.651 -20.146 -84.100
weapon_zm_revolver	-1.4907 878.3591 0.7102	2.493 128.741 84.706
weapon_zm_revolver	-58.2683 882.4073 1.9191	1.961 -22.584 -85.863
weapon_zm_revolver	-436.9471 1151.4130 210.0371	1.542 -9.158 -90.418
weapon_zm_revolver	1741.0784 -198.6124 -172.8889	-9.456 -23.112 -80.754
ttt_random_weapon	776.1707 2834.8877 -6.7900	1.739 5.716 -93.006
ttt_random_weapon	1729.2444 2407.5300 1.2223	1.623 4.921 -93.173
ttt_random_weapon	1731.4205 2351.9070 1.2245	1.598 4.919 -93.231
ttt_random_weapon	145.2475 1003.6091 1.2233	1.612 4.762 -93.200
ttt_random_weapon	-201.7206 1326.2836 48.5689	1.723 -37.595 -92.945
ttt_random_weapon	-236.4567 226.6762 13.8405	0.324 -98.652 -92.375
ttt_random_weapon	127.4516 91.3781 -38.7847	1.703 4.926 -92.991
ttt_random_weapon	2846.9648 870.9365 -13.6731	1.858 2.255 -92.637
ttt_random_weapon	3013.0859 1143.8141 1.2300	1.536 4.981 -93.373
ttt_random_weapon	2431.4275 1073.0038 38.1257	2.188 -83.451 -92.141
ttt_random_weapon	2238.8357 1227.4904 1.2353	1.476 4.973 -93.511
item_ammo_smg1_ttt	1590.3198 -1286.5923 -34.5727	-5.800 -0.385 -9.193
item_ammo_smg1_ttt	1606.0834 -1262.2813 -37.6505	1.940 0.565 -9.283
item_ammo_smg1_ttt	1580.0920 -1256.1146 -38.3752	-0.224 -0.817 -18.393
item_ammo_smg1_ttt	1600.2755 -1237.0425 -43.3559	8.686 -2.043 -14.492
item_ammo_smg1_ttt	1580.0974 -1227.0031 -47.0644	-3.521 -0.032 -15.864
item_ammo_smg1_ttt	1613.5125 -1180.3032 -45.9596	-14.319 -87.626 171.816
item_ammo_smg1_ttt	1127.5724 -819.6528 -96.8581	8.307 -0.129 6.486
item_ammo_smg1_ttt	1161.2482 -794.1375 -98.0686	8.081 -0.164 3.837
item_ammo_smg1_ttt	1162.3972 -833.8798 -101.0638	4.358 -0.230 3.407
item_ammo_smg1_ttt	1194.4398 -821.3616 -106.9838	14.402 1.550 3.374
item_ammo_smg1_ttt	561.8080 -139.8686 208.3837	0.079 -0.005 0.040
item_ammo_smg1_ttt	704.5610 2417.3035 40.9244	0.104 -0.268 -0.270
weapon_zm_shotgun	-398.0774 1079.6470 1.0187	-0.425 167.283 -84.176
weapon_zm_shotgun	-198.8967 719.8819 21.2556	58.512 22.611 20.239
weapon_zm_shotgun	-405.7390 1076.7192 209.0189	-0.269 -11.751 -83.819
weapon_zm_shotgun	-176.5444 1393.8051 21.5737	24.876 -16.948 -97.206
weapon_zm_shotgun	253.5349 882.4847 1.2384	-0.724 -22.768 -92.186
weapon_zm_shotgun	3088.0769 1124.1018 41.7574	-0.737 11.945 86.881
weapon_zm_shotgun	1044.7292 147.4763 55.7768	-14.701 -24.763 112.184
weapon_ttt_m16	2231.6292 1422.2113 226.0065	-5.624 84.732 72.531
weapon_ttt_m16	2448.5295 1223.2581 195.4995	2.703 -71.987 85.408
weapon_ttt_m16	1458.4352 -1162.4855 216.9517	3.337 12.374 -14.133
weapon_zm_molotov	1755.1624 -1205.7117 -59.1780	41.080 -156.216 116.534
weapon_zm_molotov	1741.2031 -1230.2687 -51.3774	61.186 -131.373 131.991
weapon_zm_molotov	1758.2108 -1207.8951 -58.1664	-36.330 170.677 114.746
weapon_zm_molotov	-265.7097 -160.7509 212.6086	2.142 -0.122 -2.218
weapon_zm_molotov	-276.4043 -148.4244 212.5249	0.627 0.009 -0.359
weapon_zm_molotov	-264.0397 -144.7772 212.5972	2.442 -0.125 -2.526
weapon_zm_sledge	802.5342 929.6750 108.4095	18.415 0.198 2.881
weapon_zm_sledge	1217.6986 1926.2667 20.2438	53.484 -0.251 -7.313
weapon_zm_sledge	3067.9836 1367.8372 4.3753	18.442 -1.713 1.879
weapon_zm_sledge	2809.6768 1380.2233 44.9212	18.944 -8.821 2.665
item_box_buckshot_ttt	1674.4794 -1281.0397 -37.1759	1.695 -0.476 -9.329
