# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_dust2
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_zm_pistol	728.6718 2382.7742 1.5367	1.251 -84.965 -88.100
weapon_zm_pistol	727.5557 2347.5632 1.5634	0.869 -90.044 -88.884
weapon_ttt_glock	728.1240 2364.6902 1.5516	0.854 -89.360 -88.653
weapon_zm_pistol	728.4958 2325.7622 1.5057	-0.598 -91.968 -91.918
weapon_zm_pistol	-803.7142 2455.9810 -74.6187	-1.162 -43.064 -95.093
weapon_zm_pistol	-841.2408 2431.4829 -29.3403	0.534 36.674 88.960
weapon_zm_pistol	-801.4393 2469.7910 -75.4698	-0.501 -42.225 -93.748
weapon_ttt_glock	-805.0349 2485.8369 -76.2122	2.222 -43.080 -101.297
weapon_ttt_glock	-802.9301 2499.4270 -77.5075	11.385 -53.667 -88.067
weapon_ttt_glock	-1254.7070 -273.0302 129.3751	0.598 88.534 91.967
weapon_zm_pistol	-1283.6293 -275.0370 129.8053	0.743 84.714 90.412
weapon_zm_pistol	-711.4120 -658.8181 143.6152	10.883 -99.725 -91.880
weapon_zm_pistol	-653.4659 -657.1681 145.0813	9.113 -93.114 -93.473
weapon_zm_pistol	-680.6706 -666.7559 142.9171	6.845 -64.830 -85.132
weapon_ttt_glock	-1626.7291 1631.7579 12.7025	-9.155 -36.312 -101.880
item_ammo_pistol_ttt	-2410.1646 540.9225 251.3038	89.335 49.090 153.027
item_ammo_pistol_ttt	-1580.1793 677.2563 32.4957	-0.082 85.183 -0.007
item_ammo_pistol_ttt	-1587.0818 689.0704 35.2890	89.479 -122.549 152.734
item_ammo_pistol_ttt	438.9295 1776.7507 0.3358	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	448.3354 1778.2734 0.3430	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	456.6022 1777.8560 0.3727	-0.110 -0.019 -0.033
item_ammo_pistol_ttt	1369.1599 3035.5369 131.3177	-4.528 1.472 2.490
item_ammo_pistol_ttt	1375.5131 3028.3096 131.0348	-5.298 1.028 1.793
item_ammo_pistol_ttt	1382.4508 3033.0662 131.7704	-6.361 0.044 5.540
item_ammo_pistol_ttt	1611.2911 1774.6666 20.8010	-7.935 0.100 -6.441
item_ammo_pistol_ttt	1597.1453 1775.9377 21.3939	-78.993 144.130 -146.505
item_ammo_pistol_ttt	907.8696 1137.9508 1.1887	0.594 -0.074 -0.134
item_ammo_pistol_ttt	926.2841 1138.0475 1.2271	-0.531 0.024 -0.175
item_ammo_pistol_ttt	-1847.1744 540.5800 67.4253	0.383 0.097 0.015
item_ammo_pistol_ttt	-1864.1416 541.4493 67.4172	-1.434 3.056 0.005
item_ammo_pistol_ttt	-1883.7717 540.3858 67.4182	-1.630 -0.232 -0.003
item_ammo_pistol_ttt	-1904.6100 542.7266 67.3994	0.972 -6.108 -0.004
item_ammo_pistol_ttt	-1828.3578 542.8710 67.4212	1.567 -0.867 0.002
item_ammo_pistol_ttt	1244.9009 1561.6331 0.8960	-1.070 -0.784 0.442
item_ammo_pistol_ttt	-967.7529 2524.2207 6.6455	-0.076 0.011 -0.014
item_ammo_pistol_ttt	-976.3862 2525.0513 6.6482	-0.072 0.025 0.004
item_ammo_pistol_ttt	-962.5604 2503.7275 6.6351	-0.143 -0.019 -0.035
item_ammo_pistol_ttt	-971.5245 2502.8865 6.6629	-0.120 -0.020 -0.030
item_ammo_pistol_ttt	-960.3546 2480.6821 6.7040	-0.085 -0.021 -0.021
item_ammo_pistol_ttt	-968.2506 2480.5315 6.7287	-0.063 -0.021 -0.016
item_ammo_pistol_ttt	563.2690 2316.5386 -23.6269	-0.013 -0.030 0.010
item_ammo_pistol_ttt	576.1396 2317.2922 -23.6288	-0.013 -0.030 0.010
item_ammo_pistol_ttt	586.4665 2317.0945 -23.6288	-0.013 -0.030 0.010
item_ammo_pistol_ttt	595.2385 2316.7979 -23.6661	-0.017 -0.027 0.013
item_ammo_pistol_ttt	607.9695 2316.2031 -23.6195	-0.012 -0.030 0.009
item_ammo_pistol_ttt	624.1958 2315.3303 -23.6568	0.133 0.019 -0.034
item_ammo_pistol_ttt	-1640.6398 1623.9497 13.6677	-0.513 -1.425 -15.672
weapon_zm_revolver	396.7409 -739.4183 2.5798	3.128 -21.507 -84.134
weapon_zm_revolver	-1196.9354 1446.4285 -110.0674	2.683 -21.384 -83.726
weapon_zm_revolver	-2189.7473 1269.6086 33.9304	2.529 -19.699 -83.961
weapon_zm_revolver	1298.1216 178.8736 -189.3168	2.337 -20.274 -83.251
ttt_random_weapon	-1759.3521 -93.4249 9.1666	4.087 8.741 -99.852
ttt_random_weapon	-1482.2776 25.3685 97.2097	1.766 4.772 -92.847
ttt_random_weapon	-1871.0789 562.3774 33.2229	1.617 4.988 -93.189
ttt_random_weapon	-2166.7048 1053.3507 33.2247	1.596 4.987 -93.236
ttt_random_weapon	-1629.6757 1776.2622 45.6543	6.022 -94.945 -90.721
ttt_random_weapon	-2068.1406 2485.0208 89.4978	1.946 4.720 -92.435
ttt_random_weapon	-2013.8911 3061.6077 33.1931	1.952 4.926 -92.420
ttt_random_weapon	-1395.2002 2631.8657 113.2201	1.648 4.764 -93.117
ttt_random_weapon	-869.9862 2399.6553 -72.8143	11.985 -11.024 83.419
ttt_random_weapon	560.3574 2373.7693 41.1621	2.199 3.681 -92.258
ttt_random_weapon	971.4834 2469.8445 97.2162	1.692 4.925 -93.016
ttt_random_weapon	-414.2661 -78.3824 4.4274	4.372 3.129 -94.793
ttt_random_weapon	-1746.2321 -286.3620 187.5096	1.814 4.712 -92.737
ttt_random_weapon	-1666.8544 -219.0021 187.5033	1.884 4.716 -92.576
ttt_random_weapon	-1748.6327 -217.3801 187.5041	1.876 4.716 -92.595
item_ammo_smg1_ttt	1750.1573 332.2719 64.5214	-0.220 0.014 -0.192
item_ammo_smg1_ttt	1735.0046 331.3220 64.4223	0.471 -0.004 0.304
item_ammo_smg1_ttt	1720.0380 331.2744 64.4265	0.591 -0.003 0.384
item_ammo_smg1_ttt	314.6708 471.7539 11.5577	6.327 92.879 -2.624
item_ammo_smg1_ttt	308.6640 451.8058 11.0432	-6.941 79.614 -6.599
item_ammo_smg1_ttt	-1376.0543 2789.1616 4.5781	0.474 -0.061 -0.715
item_ammo_smg1_ttt	-1395.2422 2790.0974 4.8780	1.713 0.088 -0.600
item_ammo_smg1_ttt	556.9012 2757.2959 96.4925	0.408 -0.436 -0.223
item_ammo_smg1_ttt	567.1762 2750.2212 101.9597	88.377 -3.871 -3.056
weapon_zm_shotgun	-2161.2212 -835.6136 131.1627	0.302 90.691 84.132
weapon_zm_shotgun	732.9931 1208.9833 2.2479	0.143 2.421 -89.169
weapon_zm_shotgun	1046.9342 260.8200 9.3966	-51.563 -168.590 -91.671
weapon_zm_shotgun	-605.4941 604.8636 20.1048	0.929 7.526 98.331
weapon_zm_shotgun	-230.2127 1496.9194 0.9838	-0.277 -5.119 -84.154
weapon_zm_shotgun	152.4442 -3.3761 7.2402	-1.921 -10.729 -87.300
weapon_ttt_m16	-1547.9999 673.6108 57.5076	13.606 1.301 86.442
weapon_ttt_m16	415.7296 1780.7474 8.1099	-63.498 72.148 90.489
weapon_ttt_m16	1382.8090 3059.8843 142.6193	-64.661 87.479 85.087
weapon_ttt_m16	-180.0496 2031.9033 -118.1414	-0.156 13.049 78.995
weapon_zm_molotov	-1163.1938 1201.1694 52.5670	3.169 -0.141 -3.256
weapon_zm_molotov	-1164.6108 1189.3126 52.5092	0.296 0.002 0.044
weapon_zm_molotov	976.8539 1199.7318 5.3707	3.331 -0.206 -3.191
weapon_zm_sledge	1215.5432 2463.6062 100.4025	18.519 2.331 2.353
weapon_zm_sledge	-1062.1416 -524.9152 134.4873	21.837 -72.109 5.625
item_box_buckshot_ttt	-2177.7134 -838.7662 130.0883	-0.628 0.171 -1.230
item_box_buckshot_ttt	-2178.5776 -826.0881 129.9122	-0.863 -0.135 -0.145
item_box_buckshot_ttt	-2178.9666 -812.3245 129.8490	-0.850 -0.149 -0.161
item_box_buckshot_ttt	760.6765 1198.0146 0.7781	3.082 0.258 -0.171
item_box_buckshot_ttt	760.8792 1186.8882 0.8582	2.947 0.187 -0.882
item_box_buckshot_ttt	751.6144 1190.6481 1.2049	3.108 -0.671 -0.490
item_box_buckshot_ttt	1024.9224 323.4442 8.3402	-55.091 34.418 -86.970
item_box_buckshot_ttt	1017.9465 320.2774 11.2934	-43.835 -140.725 176.867
item_box_buckshot_ttt	-228.8636 1519.5139 0.3825	-0.435 0.000 0.440
item_box_buckshot_ttt	-217.6938 1521.2628 0.3780	0.291 0.003 -0.149
item_box_buckshot_ttt	-602.9669 620.0853 19.5279	3.865 1.623 -6.451
item_box_buckshot_ttt	-590.8810 623.7179 18.7491	11.526 -0.064 -0.222
item_box_buckshot_ttt	756.2410 -8.5782 13.7281	-4.911 0.716 -3.652
item_box_buckshot_ttt	745.7963 24.3176 10.7218	-5.274 -0.084 -3.653
ttt_random_ammo	477.6956 1947.9167 96.4236	1.408 -0.032 -1.695
ttt_random_ammo	485.6498 1907.5170 96.3744	0.122 -0.000 -0.085
ttt_random_ammo	412.4770 1428.7065 96.3324	0.045 0.000 -0.032
ttt_random_ammo	337.7328 2660.7327 96.4218	1.559 0.040 1.887
