# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_dust
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_ttt_glock	-20.1541 -1426.8578 97.5342	0.488 44.931 -88.530
weapon_zm_pistol	1521.1102 480.8110 32.4280	-12.978 32.524 82.795
weapon_zm_pistol	530.5263 1336.7043 33.5379	0.399 -150.631 -88.661
weapon_zm_pistol	-922.9317 1246.1251 -99.5049	0.357 35.030 91.948
weapon_ttt_glock	-920.4808 1244.7412 -96.6705	12.629 -35.110 -85.593
weapon_zm_pistol	-1781.6029 3616.0212 2.9294	-1.567 -37.231 -90.282
weapon_zm_pistol	-356.8685 3008.9575 13.9016	5.212 -38.637 -90.348
weapon_zm_pistol	1631.2776 2864.5579 -113.8916	-8.903 -34.890 -95.466
weapon_ttt_glock	95.1719 3585.5212 33.3835	-0.404 -41.074 -89.323
weapon_ttt_glock	717.0096 -593.6583 44.3155	-5.197 -33.438 -87.429
item_ammo_pistol_ttt	-9.1436 -1401.0452 96.3628	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	-31.6516 -1435.2384 99.2884	-89.289 122.369 146.227
item_ammo_pistol_ttt	1281.1927 867.5557 0.4940	0.223 0.270 0.103
item_ammo_pistol_ttt	1287.4066 870.4293 3.3671	89.133 164.942 166.204
item_ammo_pistol_ttt	1294.4760 870.7405 10.6898	-67.406 -0.438 29.710
item_ammo_pistol_ttt	1495.6886 469.5461 29.3878	-75.768 -171.888 -173.204
item_ammo_pistol_ttt	-117.0222 1658.1777 32.4183	-0.325 0.030 -0.418
item_ammo_pistol_ttt	-911.3008 1197.5129 -99.6612	0.014 0.029 0.014
item_ammo_pistol_ttt	-1265.1769 1324.1528 -183.8216	81.647 -165.932 -165.203
item_ammo_pistol_ttt	-1736.7014 3626.6194 4.2506	-88.441 42.980 -56.071
item_ammo_pistol_ttt	1046.9828 3203.0249 -63.6548	-0.177 -0.013 -0.037
item_ammo_pistol_ttt	1661.6782 2847.3391 -110.2224	-3.824 0.024 -8.415
item_ammo_pistol_ttt	-34.6166 3754.7375 51.2097	-89.854 1.362 -0.073
item_ammo_pistol_ttt	122.6869 2286.2893 24.4912	0.014 4.255 -0.186
item_ammo_pistol_ttt	1304.4358 1332.2916 32.3887	-0.096 -0.020 -0.029
item_ammo_pistol_ttt	-630.3866 -669.0862 0.3695	0.056 -0.002 0.027
item_ammo_pistol_ttt	-335.3840 -1846.6683 64.4305	-0.601 0.037 -0.394
item_ammo_pistol_ttt	-58.5846 -74.3690 0.3911	-0.062 -0.033 0.013
weapon_zm_revolver	578.5649 394.7862 4.3123	29.580 92.007 22.986
weapon_zm_revolver	2401.5498 1194.3917 74.8996	5.366 -28.370 -82.500
weapon_zm_revolver	-1888.4825 2851.5198 58.8434	2.453 13.089 -83.538
weapon_zm_revolver	299.3478 3271.1150 7.2546	2.269 153.608 -89.048
weapon_zm_revolver	240.6075 137.5184 22.7125	-6.614 -99.385 -80.066
weapon_zm_revolver	474.9457 -1542.8506 65.9488	2.678 -18.221 -84.074
ttt_random_weapon	1887.0743 862.5191 95.1788	11.344 23.928 58.073
ttt_random_weapon	-1286.9559 705.6580 49.8030	2.005 5.086 -92.299
ttt_random_weapon	665.6564 2086.5105 13.2053	1.757 5.593 -92.691
ttt_random_weapon	442.1604 2861.7380 2.9376	4.237 0.635 -96.917
ttt_random_weapon	991.4573 3322.9609 33.1871	1.981 5.707 -92.506
ttt_random_weapon	942.7000 3193.2654 89.6623	2.034 72.191 -91.849
ttt_random_weapon	-581.2504 3370.6812 3.0010	2.546 7.478 -97.165
ttt_random_weapon	-1276.1719 1480.9928 1.1923	1.962 4.927 -92.398
ttt_random_weapon	-1066.0056 423.9989 33.1987	1.890 4.927 -92.563
ttt_random_weapon	-1091.2268 257.1071 33.2030	1.842 4.927 -92.673
ttt_random_weapon	-830.6842 -793.8066 1.1630	2.237 5.677 -91.980
ttt_random_weapon	-698.1122 -1490.4061 65.2193	1.658 5.892 -93.095
