# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_inferno
# Exported by: Ajunk
setting:	replacespawns 1
weapon_zm_pistol	1172.8271 3218.8752 128.2645	-0.503 35.367 88.876
weapon_zm_pistol	214.3542 719.1392 40.5422	-9.716 42.132 102.509
weapon_ttt_glock	-791.4242 670.8800 -9.9364	-8.940 -37.767 -89.719
weapon_zm_pistol	1075.5765 38.1851 256.2976	0.015 35.150 88.124
weapon_zm_pistol	2108.4978 428.5309 160.3215	-0.082 35.987 88.835
weapon_zm_pistol	2704.1438 1183.4105 200.4039	0.127 35.212 87.860
weapon_zm_pistol	2224.3362 2849.7954 152.3013	-0.109 36.003 88.498
weapon_ttt_glock	444.5952 3545.4080 160.3526	0.594 36.684 88.861
weapon_zm_pistol	-895.2095 125.5986 16.7835	0.155 35.976 90.692
weapon_zm_pistol	-1750.8098 135.0076 -42.8090	-0.523 32.485 91.551
weapon_ttt_glock	1450.8990 2954.2156 160.4696	-0.782 33.869 93.050
weapon_ttt_glock	252.4843 1200.7893 96.3993	1.254 165.510 89.397
item_ammo_pistol_ttt	-475.6455 -324.6218 192.3668	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	-497.0657 -323.5296 192.4413	-0.050 -0.020 -0.015
item_ammo_pistol_ttt	-519.2770 -328.6199 192.4277	-0.062 -0.020 -0.019
item_ammo_pistol_ttt	-545.1051 -330.9939 192.4012	-0.085 -0.020 -0.026
item_ammo_pistol_ttt	-564.0621 -333.0563 192.3870	-0.098 -0.020 -0.030
item_ammo_pistol_ttt	-185.6349 715.9835 64.3543	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	-177.4462 674.2745 64.3764	-0.107 -0.019 -0.032
item_ammo_pistol_ttt	-144.9253 679.8160 64.3727	-0.110 -0.019 -0.033
item_ammo_pistol_ttt	-114.9558 682.9278 64.3688	-0.114 -0.019 -0.034
item_ammo_pistol_ttt	-182.4336 612.4074 64.3818	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	2499.0850 42.4633 212.3628	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	2472.8481 48.9539 212.3783	-0.105 -0.020 -0.032
item_ammo_pistol_ttt	2495.1821 77.3157 212.4339	0.057 0.020 -0.017
