# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_nuke
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_zm_pistol	1304.4645 -414.1577 -639.6404	0.452 36.661 89.096
weapon_ttt_glock	1093.5569 -644.5424 -639.6508	0.226 36.848 89.029
weapon_zm_pistol	1135.1307 -1561.3904 -639.7162	-0.133 36.017 88.205
weapon_ttt_glock	1430.2927 -2158.2571 -639.7255	-0.145 36.019 88.049
weapon_zm_pistol	454.3192 -951.4391 -279.4344	7.738 -42.699 -95.510
weapon_zm_pistol	404.3738 -1116.3955 -383.7255	-0.145 36.019 88.049
weapon_zm_pistol	-242.4719 -486.9757 -389.7162	-0.133 36.017 88.205
weapon_ttt_glock	-383.9997 -1097.7351 -415.7321	-0.154 36.020 87.937
weapon_zm_pistol	159.1513 -2038.2328 -415.6153	0.440 36.404 89.621
weapon_zm_pistol	2007.1298 -1920.0634 -364.3068	0.372 36.640 89.230
weapon_ttt_glock	1783.1187 -790.7198 -303.8601	0.015 35.145 88.250
weapon_zm_pistol	496.3292 157.4724 -415.7223	-0.141 36.020 88.102
weapon_zm_pistol	1291.2402 -605.0217 -415.6487	-0.041 35.943 89.335
weapon_ttt_glock	1231.7483 -728.6506 -415.7255	-0.145 36.019 88.049
weapon_zm_pistol	2189.9351 -2426.4910 -638.4722	0.469 1.647 -89.488
item_ammo_pistol_ttt	135.5890 -873.0757 -95.5485	-0.041 -0.020 -0.013
item_ammo_pistol_ttt	122.3992 -847.0700 -95.6547	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	110.5399 -875.3221 -95.6435	-0.124 -0.019 -0.038
item_ammo_pistol_ttt	362.3110 -1049.7679 -259.1366	78.570 -179.985 178.598
item_ammo_pistol_ttt	392.5446 -1039.5564 -265.1869	78.406 179.695 179.482
item_ammo_pistol_ttt	381.9915 -1002.9474 -263.0700	78.556 -179.983 178.600
item_ammo_pistol_ttt	349.7317 -1109.6013 -256.6641	78.790 179.987 178.576
item_ammo_pistol_ttt	388.6071 -1146.3212 -264.4371	78.780 179.989 178.578
item_ammo_pistol_ttt	1053.8796 -743.1386 -415.5756	-0.065 -0.020 -0.020
item_ammo_pistol_ttt	1056.3595 -724.6090 -415.5600	-0.908 0.103 -0.594
item_ammo_pistol_ttt	1076.9335 -732.9775 -415.6147	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	1081.5847 -709.7131 -415.6718	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	1094.9432 -718.5463 -415.5959	-0.083 -0.020 -0.025
item_ammo_pistol_ttt	-2718.3013 -842.8472 -417.8672	0.802 -0.044 -0.033
item_ammo_pistol_ttt	1268.3186 -414.8057 -639.6182	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	1421.6827 -2129.6978 -639.6771	-0.154 -0.018 -0.046
item_ammo_pistol_ttt	1459.2615 -2190.1021 -639.6618	-0.140 -0.019 -0.042
item_ammo_pistol_ttt	1483.8800 -2128.9631 -639.6236	-0.107 -0.019 -0.032
item_ammo_pistol_ttt	1497.7981 -2182.2034 -639.5576	0.152 0.077 -0.285
item_ammo_pistol_ttt	1305.5320 -375.3723 -639.6824	-0.158 -0.017 -0.048
item_ammo_pistol_ttt	1299.3040 -450.0768 -639.6373	-0.119 -0.019 -0.036
item_ammo_pistol_ttt	1783.1970 -806.3752 -303.7680	0.021 0.044 -0.006
item_ammo_pistol_ttt	1766.0005 -790.7784 -303.7794	0.023 0.044 -0.007
item_ammo_pistol_ttt	1831.3740 -789.5919 -287.2815	-0.003 -0.030 0.006
item_ammo_pistol_ttt	2016.6555 -1949.1161 -364.3115	0.118 0.021 -0.026
item_ammo_pistol_ttt	521.0238 175.1847 -415.6547	-0.134 -0.019 -0.041
item_ammo_pistol_ttt	453.6963 170.8791 -415.6113	-0.096 -0.020 -0.029
item_ammo_pistol_ttt	463.9675 125.8360 -415.6618	-0.140 -0.019 -0.043
item_ammo_pistol_ttt	525.9805 142.3480 -415.6158	0.504 -14.887 -0.007
item_ammo_pistol_ttt	2187.0420 -2390.6770 -639.5407	-0.034 -0.020 -0.010
item_ammo_pistol_ttt	2242.7341 -2386.8828 -639.6693	-0.147 -0.018 -0.044
item_ammo_pistol_ttt	2226.8962 -2394.0735 -639.6097	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	2214.2944 -2385.7893 -639.5134	0.153 -0.479 0.029
item_ammo_pistol_ttt	1081.3763 -538.3301 -193.7085	0.887 0.256 5.883
item_ammo_pistol_ttt	1116.9575 -537.0644 -193.5973	1.117 0.280 5.890
item_ammo_pistol_ttt	1145.0116 -535.8499 -193.4563	0.915 0.259 5.884
item_ammo_pistol_ttt	1170.7969 -530.3329 -192.9097	1.152 0.284 5.891
item_ammo_pistol_ttt	1200.7393 -529.6814 -192.8308	1.004 0.268 5.887
item_ammo_pistol_ttt	1220.0530 -526.3091 -192.4713	0.834 0.250 5.881
item_ammo_pistol_ttt	1243.7000 -526.3077 -192.4927	1.101 0.278 5.890
weapon_zm_revolver	-2727.2197 -663.7889 -415.3859	2.762 -21.296 -83.360
weapon_zm_revolver	639.9932 -1430.3529 -598.0569	2.699 -20.129 -83.915
weapon_zm_revolver	584.6472 -1062.5400 -365.2217	2.472 -20.580 -84.322
weapon_zm_revolver	411.8042 -825.0159 -382.0848	2.442 -20.370 -83.801
weapon_zm_revolver	-409.8405 -235.2800 -414.0904	2.447 -20.361 -83.676
weapon_zm_revolver	-249.3264 -519.4202 -170.0539	2.668 -20.139 -84.036
weapon_zm_revolver	-2768.6541 -808.8733 -416.7875	1.163 -20.645 -82.894
weapon_zm_revolver	115.3275 -1979.1146 -414.0933	2.450 -20.358 -83.608
weapon_zm_revolver	1569.3407 -2124.8557 -361.9134	2.206 -18.922 -84.142
