# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_piranesi
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_zm_pistol	2130.4158 1592.5082 140.2544	-1.775 43.399 87.328
weapon_ttt_glock	-497.6083 1133.6183 378.0221	-0.258 50.616 -91.138
weapon_zm_pistol	-1055.7240 169.6260 152.8766	-0.567 -39.501 -88.611
weapon_zm_pistol	-1139.3055 493.4852 480.3408	-0.139 27.532 91.275
weapon_zm_pistol	797.9092 1236.5367 257.3653	-0.765 -42.800 -88.961
weapon_ttt_glock	-127.8476 528.9473 544.3673	0.296 36.620 89.355
weapon_zm_pistol	2203.9248 266.0204 143.0701	-17.869 44.287 90.409
weapon_zm_pistol	1492.9891 15.1108 160.3147	-0.091 35.993 88.722
weapon_ttt_glock	1306.8271 -88.2251 161.5390	1.349 81.643 -88.085
weapon_zm_pistol	626.5313 -49.8901 128.3357	0.320 36.877 88.689
weapon_zm_pistol	567.8534 604.2455 193.6124	0.870 -31.149 -89.887
weapon_zm_pistol	-585.9603 2394.4822 145.3949	-1.301 -49.132 -89.631
weapon_zm_pistol	-755.7944 2025.7600 96.3214	-0.082 35.987 88.835
weapon_ttt_glock	-927.6564 -426.6572 106.0278	-8.213 -42.308 -97.182
weapon_zm_pistol	-2544.3738 -369.0735 152.3147	-0.091 35.993 88.722
weapon_ttt_glock	-1684.0344 193.2384 180.7329	-16.039 50.546 100.939
item_ammo_pistol_ttt	2150.1355 1608.1307 141.2229	-3.399 0.094 -0.262
item_ammo_pistol_ttt	2140.8384 1609.6781 140.7207	-3.224 0.068 -0.311
item_ammo_pistol_ttt	2133.0034 1609.5176 140.2984	-3.220 0.041 -0.312
item_ammo_pistol_ttt	-497.0252 1164.2183 336.3282	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	-689.7166 1936.0927 352.3307	-0.147 -0.018 -0.044
item_ammo_pistol_ttt	-679.2892 1937.4993 352.3967	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	-2560.1450 441.4644 163.6036	0.354 0.636 10.451
item_ammo_pistol_ttt	-2530.7507 440.8463 163.5698	-10.695 68.291 4.152
item_ammo_pistol_ttt	-356.0539 296.5140 528.3756	0.629 0.005 0.203
item_ammo_pistol_ttt	-363.1997 301.0072 528.3476	-0.132 -0.019 -0.040
item_ammo_pistol_ttt	-1059.0203 190.8374 151.8484	-0.409 -2.034 -0.184
item_ammo_pistol_ttt	-1144.8494 494.5091 480.4362	0.772 0.113 0.090
item_ammo_pistol_ttt	-1154.9619 497.3711 483.3517	-88.816 153.661 -179.053
item_ammo_pistol_ttt	1590.6501 302.3799 384.3933	0.089 -0.015 -0.062
item_ammo_pistol_ttt	787.4793 1219.3810 256.3609	0.027 0.031 0.004
item_ammo_pistol_ttt	799.0533 1214.0349 256.3523	0.029 0.030 0.004
item_ammo_pistol_ttt	-136.2457 533.8890 544.3839	-0.096 -0.021 -0.018
item_ammo_pistol_ttt	-489.6734 2390.3770 144.4215	-0.324 0.231 -0.478
item_ammo_pistol_ttt	-731.7991 2038.3616 96.4335	-0.328 0.247 -0.525
item_ammo_pistol_ttt	-2561.4773 -361.5598 152.4321	0.014 0.760 -0.402
item_ammo_pistol_ttt	-1677.5366 172.4173 173.0966	-0.574 0.258 20.505
weapon_zm_revolver	-296.1514 -618.7118 133.9844	2.549 -21.360 -85.058
weapon_zm_revolver	190.5883 625.5313 289.9160	2.576 -19.662 -83.575
weapon_zm_revolver	-1704.4427 1675.0236 145.9064	1.861 -25.524 -86.036
weapon_zm_revolver	321.4361 533.4460 545.9406	2.723 -20.118 -83.821
weapon_zm_revolver	1953.4545 1549.4084 136.2242	2.977 -88.770 83.408
weapon_zm_revolver	-1503.4824 500.5802 481.9194	2.565 -19.671 -83.666
weapon_zm_revolver	714.4967 -567.0516 113.9649	-7.658 31.252 93.810
weapon_zm_revolver	-305.1727 710.7363 245.8032	1.665 -32.408 -86.141
ttt_random_weapon	-1037.1472 2068.7795 185.7199	1.630 5.869 -93.159	auto_ammo 1
ttt_random_weapon	-1107.0369 2109.9438 194.0788	1.843 132.992 -92.726	auto_ammo 2
ttt_random_weapon	2313.2405 1342.5969 266.7366	-4.652 3.395 -91.550	auto_ammo 1
ttt_random_weapon	2368.3889 514.2672 280.6053	-10.993 -2.772 93.873	auto_ammo 2
ttt_random_weapon	102.2069 433.8060 410.6145	1.170 7.288 -95.042	auto_ammo 1
ttt_random_weapon	1221.3865 371.9391 203.3346	2.111 -32.755 -92.241	auto_ammo 2
ttt_random_weapon	-913.8268 396.1124 470.7120	1.899 7.127 -92.543	auto_ammo 1
ttt_random_weapon	-1146.4016 1303.5527 140.6133	2.165 7.279 -93.998	auto_ammo 1
ttt_random_weapon	-1954.0531 2207.0664 242.9794	1.662 12.244 -95.739	auto_ammo 3
item_ammo_smg1_ttt	-1271.0942 -20.2044 151.9779	0.473 -0.006 0.302
item_ammo_smg1_ttt	-1426.4070 303.6865 448.4278	-0.265 -6.697 -0.054
item_ammo_smg1_ttt	-1407.3590 310.5451 448.5038	-0.349 1.934 0.129
item_ammo_smg1_ttt	-1671.3656 1707.1691 144.4265	0.596 -0.003 0.388
item_ammo_smg1_ttt	-1721.8873 1714.5590 144.4770	0.690 0.164 -0.106
weapon_zm_shotgun	346.2613 1350.5612 81.0229	-0.304 89.819 -83.920
weapon_zm_shotgun	-1556.7665 -340.6184 185.0368	-0.504 -1.239 -84.793
weapon_zm_shotgun	-2481.3274 264.5466 160.3465	-52.870 -161.040 79.110
weapon_zm_shotgun	1948.8170 1598.6411 128.0412	-0.453 -69.520 84.272
weapon_zm_shotgun	1574.8942 736.5491 385.0154	-0.994 -20.516 -85.738
weapon_ttt_m16	2143.7710 1586.1078 142.9757	4.867 -153.227 -83.992
weapon_ttt_m16	-662.0915 1947.3533 353.2710	2.529 162.709 85.567
weapon_ttt_m16	-2478.3779 248.4988 160.5106	-62.080 -163.347 -91.198
weapon_ttt_m16	-402.8095 309.1753 529.1573	2.198 -80.834 84.628
weapon_ttt_m16	1597.3412 281.5233 385.1592	2.037 -8.135 84.294
weapon_zm_molotov	2116.8538 1637.3574 125.7034	0.622 0.008 -0.353
weapon_zm_molotov	17.6619 150.6454 260.6093	2.111 -0.121 -2.173
weapon_zm_molotov	15.9721 162.6763 260.5789	2.998 -0.135 -3.101
weapon_zm_molotov	151.3770 86.7081 532.5115	0.328 0.002 0.015
item_box_buckshot_ttt	339.9124 1302.6050 80.3945	-0.949 -0.003 0.844
item_box_buckshot_ttt	339.9524 1323.7246 80.4003	-0.893 -0.016 0.793
item_box_buckshot_ttt	-1575.5121 -339.7208 184.4412	0.671 0.008 0.571
item_box_buckshot_ttt	-2582.9041 425.3937 160.9841	-0.100 -1.522 7.627
item_box_buckshot_ttt	-2584.0728 437.6273 162.9014	0.193 0.417 10.553
item_box_buckshot_ttt	-2572.6475 439.3729 163.2547	0.399 -0.600 10.126
item_box_buckshot_ttt	-2574.8979 433.3146 166.1122	-1.656 16.403 98.807
item_box_buckshot_ttt	-1486.4351 527.0889 304.3849	-0.999 -0.010 0.896
item_box_buckshot_ttt	-1485.8339 539.5892 304.4446	-0.536 -0.007 0.475
item_box_buckshot_ttt	1947.1316 1616.5264 127.2020	0.707 -0.001 0.566
item_box_buckshot_ttt	1945.6951 1628.3834 127.1867	0.850 -0.004 0.681
item_box_buckshot_ttt	1571.6666 753.8464 384.3739	0.754 -0.022 -0.523
ttt_random_ammo	-1060.9336 2093.3408 144.4128	1.673 -0.035 -2.020
ttt_random_ammo	-1045.5503 2094.1233 144.3304	0.046 -0.000 0.029
ttt_random_ammo	-1091.1012 2132.6343 144.3864	0.318 -0.002 -0.331
ttt_random_ammo	-1105.9242 2137.0957 144.3887	0.416 -0.003 -0.450
weapon_zm_mac10	-1283.5939 -2.8968 152.5724	0.496 64.427 88.480
weapon_zm_mac10	-1437.3191 296.6537 473.1350	0.091 109.076 90.216
weapon_zm_mac10	-1701.0715 1711.3467 145.3469	0.452 -47.528 -87.731
item_ammo_357_ttt	-1592.9830 2606.6772 248.3556	0.443 0.054 0.041
item_ammo_357_ttt	-1581.1660 2608.7261 248.3774	0.449 0.051 0.033
item_ammo_357_ttt	-659.9127 1521.6495 352.3684	0.458 0.057 0.041
item_ammo_357_ttt	-660.6656 1503.0065 352.3744	0.459 0.057 0.038
item_ammo_357_ttt	-2593.6882 424.5427 160.8487	0.285 -0.168 6.579
item_ammo_357_ttt	-2593.9570 436.0633 162.6003	0.371 -0.511 11.047
item_ammo_357_ttt	-2602.6201 422.9190 160.7003	0.001 -0.219 4.891
item_ammo_357_ttt	-2604.0554 434.2212 162.3025	0.482 -0.523 10.659
item_ammo_357_ttt	716.4968 185.8861 384.3786	0.459 0.056 0.037
item_ammo_357_ttt	529.5091 301.1658 528.3076	0.446 0.080 0.065
item_ammo_357_ttt	-1226.1475 295.0644 472.4703	0.478 -129.923 -0.000
item_ammo_revolver_ttt	-284.9269 -633.8478 132.4537	0.471 0.058 0.006
item_ammo_revolver_ttt	-575.1448 367.9779 324.4005	0.464 0.056 0.027
item_ammo_revolver_ttt	-587.0092 364.8780 324.3346	0.452 0.066 0.053
item_ammo_revolver_ttt	-1668.4485 1674.0844 144.4253	-0.407 -179.168 -0.000
item_ammo_revolver_ttt	-1723.1387 1673.8019 144.3304	0.450 0.068 0.056
item_ammo_revolver_ttt	309.4205 534.4567 544.3640	0.437 0.050 0.034
item_ammo_revolver_ttt	1888.9263 1567.8223 124.3158	0.455 -0.057 -0.041
item_ammo_revolver_ttt	1897.0419 1562.0338 124.3093	0.453 -0.059 -0.043
item_ammo_revolver_ttt	-1469.8241 496.4219 480.3324	0.450 0.063 0.056
item_ammo_revolver_ttt	732.4775 -585.8966 111.1105	-3.523 0.396 11.577
item_ammo_revolver_ttt	-299.7545 624.9015 244.3203	0.341 0.161 0.042
item_ammo_revolver_ttt	-300.6685 540.1729 244.3452	0.363 0.159 0.035
ttt_playerspawn	2052.3101 1586.1125 105.8547	-0.017 -0.000 0.017
ttt_playerspawn	1993.2751 1592.7678 105.8067	-0.025 -0.000 0.025
ttt_playerspawn	460.6864 1525.8577 64.3891	-0.003 0.000 -0.003
ttt_playerspawn	-1541.5997 402.7220 448.3636	-0.030 -0.000 0.030
ttt_playerspawn	-388.1483 365.1675 512.3965	-0.023 -0.000 0.023
