# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_port
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_zm_pistol	-2086.8926 -1638.0508 512.3013	-0.109 36.003 88.498
weapon_ttt_glock	-674.6696 924.9177 610.6284	21.002 22.873 95.119
weapon_zm_pistol	-1491.5725 892.0173 512.2777	-0.141 36.020 88.102
weapon_zm_pistol	-82.4564 1381.9351 641.4537	0.792 36.683 88.531
weapon_zm_pistol	1096.9469 262.4305 448.2678	-0.154 36.020 87.937
weapon_zm_pistol	1061.1616 251.5750 448.3539	-0.038 35.935 89.379
weapon_zm_pistol	551.9958 400.2798 448.2625	-0.162 36.019 87.848
weapon_zm_pistol	1627.6112 -941.8156 566.2213	-0.146 -38.694 -89.073
weapon_ttt_glock	-1569.8326 741.9147 512.3206	-0.083 35.987 88.820
weapon_ttt_glock	-946.0117 -804.3579 565.0806	0.021 35.153 87.516
weapon_ttt_glock	-206.7009 -1002.3984 640.2808	-0.137 36.017 88.154
item_ammo_pistol_ttt	-2072.4055 -1671.6084 512.4194	-0.436 0.036 -0.602
item_ammo_pistol_ttt	-2055.7170 -1645.7914 512.4218	-0.423 0.036 -0.584
item_ammo_pistol_ttt	-2044.3934 -1681.0577 512.4561	-0.235 0.034 -0.324
item_ammo_pistol_ttt	-2095.4839 -1663.2804 512.4305	-0.375 0.035 -0.517
item_ammo_pistol_ttt	-2068.5444 -1612.7479 512.4374	-0.337 0.035 -0.466
item_ammo_pistol_ttt	-471.3804 426.5032 640.5164	0.081 0.020 -0.023
item_ammo_pistol_ttt	-429.7736 421.1642 640.5427	0.058 0.020 -0.017
item_ammo_pistol_ttt	-423.0366 383.7651 640.4442	0.144 0.018 -0.041
item_ammo_pistol_ttt	-452.3538 391.5518 640.4891	0.105 0.020 -0.030
item_ammo_pistol_ttt	-499.5470 414.0506 640.5318	0.067 0.020 -0.019
item_ammo_pistol_ttt	-536.1335 396.4800 640.4796	0.113 0.020 -0.032
item_ammo_pistol_ttt	-627.3311 861.0165 512.4374	-0.337 0.035 -0.466
item_ammo_pistol_ttt	-635.9697 895.2510 512.4626	-0.199 0.034 -0.274
item_ammo_pistol_ttt	-638.8281 922.8565 512.4345	-0.353 0.035 -0.487
item_ammo_pistol_ttt	-612.2763 909.7861 512.4383	-0.332 0.035 -0.459
item_ammo_pistol_ttt	-603.3669 874.6213 512.4491	-0.273 0.035 -0.377
item_ammo_pistol_ttt	-1471.8429 893.2377 512.4241	-0.410 0.036 -0.567
item_ammo_pistol_ttt	-1487.2690 863.4911 512.4498	-0.269 0.035 -0.371
item_ammo_pistol_ttt	-1475.4333 854.8392 512.4757	-0.126 0.033 -0.174
item_ammo_pistol_ttt	-1455.9868 871.9799 512.4274	-0.392 0.036 -0.541
item_ammo_pistol_ttt	1036.7064 -3162.5198 768.3855	0.023 0.031 0.003
item_ammo_pistol_ttt	1010.4019 -3159.0803 768.3414	0.458 -0.030 -0.116
item_ammo_pistol_ttt	993.1514 -3169.0652 768.7584	1.690 -0.199 -0.030
item_ammo_pistol_ttt	986.3474 -3180.3447 768.9601	1.592 -0.120 -0.014
item_ammo_pistol_ttt	1038.3569 -3131.4690 768.3802	0.024 0.031 0.003
item_ammo_pistol_ttt	-1126.8881 106.4560 560.9482	0.096 -0.020 -0.022
item_ammo_pistol_ttt	229.8237 1651.9932 640.5123	0.016 0.031 0.005
item_ammo_pistol_ttt	250.0539 1712.8763 640.4420	0.027 0.028 0.008
item_ammo_pistol_ttt	261.0944 1803.4691 640.4677	0.023 0.030 0.007
item_ammo_pistol_ttt	-104.0439 1316.3260 641.5090	0.087 0.020 -0.025
item_ammo_pistol_ttt	-76.2551 1324.6080 641.5257	0.073 0.020 -0.021
item_ammo_pistol_ttt	-137.6363 1317.2979 641.5075	0.089 0.020 -0.025
item_ammo_pistol_ttt	-106.3130 1398.8185 641.4694	-0.122 -0.020 -0.035
item_ammo_pistol_ttt	-133.1992 1375.1392 641.5106	0.086 0.020 -0.025
item_ammo_pistol_ttt	512.5203 387.0146 448.4520	-0.257 0.034 -0.355
item_ammo_pistol_ttt	528.0166 402.3945 448.4230	-0.417 0.036 -0.576
item_ammo_pistol_ttt	538.0268 432.0567 448.4609	-0.208 0.034 -0.287
item_ammo_pistol_ttt	557.6179 439.3734 448.4637	-0.193 0.034 -0.266
item_ammo_pistol_ttt	505.1616 417.6914 448.4218	-0.423 0.036 -0.585
item_ammo_pistol_ttt	1623.6534 -926.8106 565.1537	-0.133 -0.020 -0.029
item_ammo_pistol_ttt	1665.2919 -944.2311 618.2156	-0.081 -0.021 -0.017
item_ammo_pistol_ttt	1691.2598 -933.9514 618.2718	0.008 0.044 -0.003
item_ammo_pistol_ttt	1569.3368 -931.4573 512.4620	-0.202 0.034 -0.278
item_ammo_pistol_ttt	1537.5587 -936.3561 512.4572	2.703 -0.299 0.012
weapon_zm_revolver	-574.1214 155.8941 621.4692	-0.487 -26.885 -81.182
weapon_zm_revolver	1057.1899 -1844.4248 780.0714	-0.456 -34.082 -79.973
weapon_zm_revolver	-770.3258 238.0525 513.9169	2.441 -20.375 -83.840
weapon_zm_revolver	1112.8530 438.8986 449.9203	2.437 -20.380 -83.915
weapon_zm_revolver	1066.2787 423.2764 449.8742	2.480 -20.297 -82.880
weapon_zm_revolver	1070.3812 314.5634 449.9035	2.453 -20.351 -83.538
weapon_zm_revolver	1552.6511 -405.1546 449.8921	2.464 -20.331 -83.280
weapon_zm_revolver	884.8300 -1223.8912 642.0322	11.561 -26.647 -87.833
weapon_zm_revolver	303.5981 -926.7763 641.8895	2.466 -20.328 -83.223
weapon_zm_revolver	-696.8633 781.4337 513.8815	2.473 -20.309 -83.043
ttt_random_weapon	-1419.2292 -482.0255 526.9385	1.720 0.966 -92.952
ttt_random_weapon	-2938.4780 126.3624 655.8181	2.150 5.809 -91.973
ttt_random_weapon	-1951.5315 -460.3267 524.7405	2.141 4.873 -91.995
ttt_random_weapon	1118.0156 188.9953 657.2853	-2.398 2.610 -91.299
ttt_random_weapon	-1291.2527 51.7054 526.5690	2.173 4.765 -91.931
ttt_random_weapon	284.7085 -1982.4366 772.5239	2.156 2.713 -90.773
ttt_random_weapon	545.0836 -1952.3667 772.6459	1.543 3.645 -91.042
ttt_random_weapon	1075.6243 -2005.8752 769.8353	1.684 4.476 -92.199
ttt_random_weapon	-1729.3992 693.3456 513.1994	1.882 4.926 -92.582
ttt_random_weapon	-336.6218 1543.5430 513.2215	1.632 4.410 -93.153
ttt_random_weapon	873.8361 824.6304 664.3607	4.658 5.754 -95.915
ttt_random_weapon	2073.7109 959.3775 528.7658	0.793 -0.821 -93.640
item_ammo_smg1_ttt	930.3630 -547.1121 448.4865	-0.075 -0.027 0.396
item_ammo_smg1_ttt	920.1922 -512.2155 448.5055	-0.732 -0.033 0.756
item_ammo_smg1_ttt	937.9286 -481.5131 448.4963	-0.518 -0.031 0.647
weapon_zm_shotgun	-1587.2231 877.0660 513.2582	-0.163 8.295 83.263
weapon_zm_shotgun	1170.2352 679.8924 449.0431	-0.947 -9.700 -88.943
weapon_zm_shotgun	1052.1704 374.0146 449.0342	-0.466 -10.546 -84.832
