# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_prodigy
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_ttt_glock	-59.4366 666.7002 -295.6933	-1.057 -121.746 91.264
weapon_zm_pistol	134.4345 -654.3209 -171.0145	-0.148 36.020 88.021
weapon_zm_pistol	1691.9158 -125.7442 -350.4899	-0.367 -38.065 -90.025
weapon_zm_pistol	3219.7375 -251.7670 -456.0894	-1.146 -36.159 -91.112
weapon_ttt_glock	2504.2512 912.6721 -366.1928	0.068 36.375 87.248
weapon_zm_pistol	2504.6682 898.7772 -366.0898	0.257 40.287 89.142
weapon_zm_pistol	1904.0632 -979.1661 -446.9336	0.459 36.486 88.974
weapon_ttt_glock	780.9413 633.1761 -221.0894	0.389 36.647 89.201
weapon_zm_pistol	389.1286 69.1128 -254.4749	0.601 1.380 -90.038
weapon_ttt_glock	357.7397 72.1976 -254.4661	0.710 -1.061 -89.622
item_ammo_pistol_ttt	-65.0123 636.6500 -295.5651	-0.056 -0.020 -0.017
item_ammo_pistol_ttt	-53.6967 636.0930 -295.6273	-0.110 -0.019 -0.033
item_ammo_pistol_ttt	-67.3498 618.3538 -295.6616	-0.150 -0.001 -0.021
item_ammo_pistol_ttt	-54.5723 617.6945 -295.5175	-0.448 0.173 -0.226
item_ammo_pistol_ttt	158.5693 -669.8946 -203.7382	80.618 159.031 160.106
item_ammo_pistol_ttt	151.9447 -667.7828 -203.8079	42.643 1.610 4.176
item_ammo_pistol_ttt	1702.4786 -143.0534 -348.7624	83.333 127.798 1.338
item_ammo_pistol_ttt	1724.1256 -140.1225 -348.7633	89.842 177.993 -179.993
item_ammo_pistol_ttt	1109.0128 -1484.7113 -399.6414	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	1101.5082 -1484.5775 -399.6693	-0.147 -0.018 -0.044
item_ammo_pistol_ttt	2444.0735 422.4644 -383.5144	0.003 2.719 -0.086
