# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_tides
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_ttt_glock	515.6426 -834.6028 -51.6186	-17.195 -47.911 -101.255
weapon_zm_pistol	541.9348 -574.8531 -116.3985	4.849 -35.637 -74.607
weapon_zm_pistol	795.0313 -171.1909 -109.3527	22.605 -25.108 -70.323
weapon_zm_pistol	804.8524 -165.0814 -112.8947	-2.732 -126.005 85.569
weapon_zm_pistol	-1180.9985 1002.2091 -39.9552	0.594 -32.996 -90.896
weapon_zm_pistol	-1182.2239 480.3393 31.3797	-0.005 40.610 90.413
weapon_ttt_glock	-1029.2595 349.0164 1.3646	-0.786 -44.263 -88.924
weapon_zm_pistol	-256.9760 -26.5238 1.4053	-0.111 -42.598 -89.318
weapon_zm_pistol	985.1577 -1730.3676 16.5914	6.218 -83.131 88.503
weapon_zm_pistol	1030.7513 -1740.0544 15.6843	-2.638 33.964 92.027
weapon_ttt_glock	1053.8229 -1745.5566 15.2287	-4.873 127.193 87.717
weapon_zm_pistol	-766.7393 -1113.7076 1.4080	-1.013 -44.839 -89.596
weapon_zm_pistol	-1084.9203 -1636.3445 -55.6449	0.542 36.673 88.946
weapon_ttt_glock	-1100.6566 -1169.2933 -54.5902	-0.339 -38.988 -88.409
item_ammo_pistol_ttt	549.4605 -742.4417 -104.2655	8.495 -11.625 -21.094
item_ammo_pistol_ttt	530.5402 -707.8622 -106.6451	64.625 -127.393 -163.102
item_ammo_pistol_ttt	507.4028 -585.1311 -100.3830	63.934 161.785 157.079
item_ammo_pistol_ttt	796.0085 -159.6556 -125.4222	-87.220 -166.804 168.412
item_ammo_pistol_ttt	797.8948 -141.5842 -125.1964	-87.655 -152.109 152.138
item_ammo_pistol_ttt	807.8068 -184.6873 -125.0512	-86.950 162.835 -160.805
item_ammo_pistol_ttt	-1177.1736 997.7136 -52.5684	0.641 -0.130 0.673
item_ammo_pistol_ttt	-1188.9071 997.4254 -52.3676	1.007 -0.135 0.689
item_ammo_pistol_ttt	-943.9832 598.8975 -95.0603	1.086 -4.039 -3.165
item_ammo_pistol_ttt	-1017.9550 252.8947 8.3642	89.493 -173.531 179.456
item_ammo_pistol_ttt	-1013.0775 259.8098 14.4250	-88.965 -59.204 127.991
item_ammo_pistol_ttt	-233.6936 -30.8315 0.4429	-1.133 58.670 -0.003
item_ammo_pistol_ttt	385.3964 150.6369 0.4551	0.066 0.117 0.002
item_ammo_pistol_ttt	374.0446 149.6012 0.3566	-0.219 0.073 -0.010
item_ammo_pistol_ttt	365.1976 152.1870 0.3610	0.132 0.453 0.014
item_ammo_pistol_ttt	1116.7998 -1460.6519 -63.5836	-1.598 -89.999 -0.042
item_ammo_pistol_ttt	1015.4026 -1739.8613 15.8387	0.105 -0.410 5.043
item_ammo_pistol_ttt	728.7328 -1804.5983 0.3763	0.510 0.068 0.171
item_ammo_pistol_ttt	-792.3006 -1105.6619 0.4385	2.104 0.167 0.286
item_ammo_pistol_ttt	-805.7137 -1693.1266 0.4744	0.007 0.295 0.116
item_ammo_pistol_ttt	-805.7122 -1692.7017 12.0155	-0.265 0.196 0.152
item_ammo_pistol_ttt	-806.2247 -1695.6495 23.5687	0.326 0.966 0.386
weapon_zm_revolver	589.3763 275.5333 -119.7326	20.584 21.094 92.906
weapon_zm_revolver	551.1202 668.2941 -110.5119	2.540 -20.536 -83.681
