# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_train
# Exported by: Bad King Urgrain
setting:	replacespawns 1
weapon_ttt_glock	241.5357 -1470.6061 -351.6693	-0.069 35.971 88.990
weapon_zm_pistol	1318.7990 -1658.9957 -322.6167	-0.605 -47.086 -88.699
weapon_zm_pistol	1273.8237 1738.2505 -223.7050	-0.118 36.008 88.392
item_ammo_pistol_ttt	620.3044 -456.4128 -221.6254	-0.108 -0.019 -0.033
item_ammo_pistol_ttt	420.3841 -913.2905 -323.5769	0.348 -0.021 0.241
item_ammo_pistol_ttt	407.5778 -906.3262 -323.6312	-0.113 -0.019 -0.034
item_ammo_pistol_ttt	1427.7262 -1778.4591 -323.5903	-0.078 -0.020 -0.024
item_ammo_pistol_ttt	1441.1415 -1780.2423 -323.6718	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	1432.8108 -1667.8381 -323.6667	-0.145 -0.018 -0.044
item_ammo_pistol_ttt	1449.5885 -1668.2196 -323.6147	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	1504.3674 636.8678 -215.6097	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	1491.2527 634.4289 -215.6217	-0.105 -0.020 -0.032
item_ammo_pistol_ttt	-549.5300 1017.6542 -215.6332	-0.115 -0.019 -0.035
weapon_zm_revolver	-558.0446 997.5561 -214.0864	3.164 -30.607 -83.645
weapon_zm_revolver	1779.6725 370.0902 -214.0647	2.423 -20.402 -84.256
ttt_random_weapon	1818.4261 97.3676 -214.8029	1.907 4.928 -92.523
ttt_random_weapon	1356.0725 -158.8033 -214.7702	1.124 -10.540 -94.019
ttt_random_weapon	955.1049 68.1722 -196.7356	-1.625 -103.457 84.384
ttt_random_weapon	285.3620 490.2556 -66.5279	1.062 -2.126 -93.814
ttt_random_weapon	-55.7222 31.8790 -115.2480	1.952 83.415 -89.317
ttt_random_weapon	-484.7545 -31.9481 -214.7252	1.515 96.752 -94.894
ttt_random_weapon	-965.0240 -449.6807 17.2030	1.842 4.927 -92.673
ttt_random_weapon	-581.0516 691.5364 125.7335	1.441 62.663 -92.928
ttt_random_weapon	-748.5860 347.2769 37.4415	-1.476 63.427 83.930
ttt_random_weapon	-885.9570 1118.5303 -214.7921	1.786 4.916 -92.802
ttt_random_weapon	-778.3502 1638.3959 -220.3867	7.562 19.850 91.263
ttt_random_weapon	-73.8592 1721.6898 -102.7970	1.842 4.927 -92.673
ttt_random_weapon	-464.0994 1279.2161 -102.0070	-10.985 -12.907 98.711
ttt_random_weapon	199.8156 1251.1818 -214.8013	1.890 4.927 -92.563
