# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_dolls
# Exported by: Predators
setting:	replacespawns 0
weapon_zm_pistol	-297.7439 348.5335 -703.6600	0.165 35.294 89.972
item_ammo_pistol_ttt	466.6713 -587.4722 128.3801	-0.104 -0.020 -0.031
item_ammo_pistol_ttt	475.8497 -587.3889 128.3764	-0.107 -0.019 -0.032
item_ammo_pistol_ttt	-930.6591 -315.7160 289.9536	-0.895 3.586 18.490
item_ammo_pistol_ttt	-926.0369 -337.9076 283.2896	3.815 -11.150 23.013
item_ammo_pistol_ttt	-946.4526 -287.7804 299.2498	0.000 1.288 18.465
item_ammo_pistol_ttt	-951.3069 -309.6345 291.9450	-0.756 2.682 18.678
item_ammo_pistol_ttt	391.6802 -661.9286 -535.6693	-0.147 -0.018 -0.044
item_ammo_pistol_ttt	405.2425 -662.4893 -535.6236	-0.107 -0.019 -0.032
item_ammo_pistol_ttt	415.8709 -662.6706 -535.6064	-0.092 -0.020 -0.028
item_ammo_pistol_ttt	426.6918 -663.8423 -535.5767	-0.066 -0.020 -0.020
item_ammo_pistol_ttt	763.5425 980.5825 -495.6147	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	752.2343 982.4040 -495.6718	-0.149 -0.018 -0.045
item_ammo_pistol_ttt	742.5634 978.1721 -495.5973	-0.084 -0.020 -0.025
item_ammo_pistol_ttt	731.3090 978.7984 -495.6003	-0.086 -0.020 -0.026
item_ammo_pistol_ttt	139.8474 612.1268 -311.6536	0.042 -0.010 0.039
item_ammo_pistol_ttt	147.2294 629.8775 -311.6744	-0.151 -0.018 -0.046
item_ammo_pistol_ttt	156.5116 647.0717 -311.6414	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	-791.8232 -321.1632 -703.5973	-0.084 -0.020 -0.025
item_ammo_pistol_ttt	-766.0541 -313.4746 -702.1601	-0.305 0.661 9.225
item_ammo_pistol_ttt	-752.8572 -318.6800 -703.6570	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	-288.1131 340.7864 -702.9095	-0.217 -0.219 4.665
item_ammo_pistol_ttt	-299.0852 338.0371 -703.5826	-0.071 -0.020 -0.021
item_ammo_pistol_ttt	-310.8444 282.4978 -703.6435	-0.124 -0.019 -0.038
item_ammo_pistol_ttt	-323.8626 278.9601 -703.6693	-0.147 -0.018 -0.044
