# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: de_thematrix_11
# Exported by: GraveTracer
setting:	replacespawns 1
weapon_ttt_smokegrenade	144.557907 -1140.833374 -16.009300	2.070 -0.119 -2.121
weapon_ttt_smokegrenade	136.821899 -1144.895874 -16.103300	-0.295 0.658 0.652
ttt_random_weapon	597.628113 -535.210815 -66.800102	1.876 4.716 -92.595
ttt_random_weapon	481.237000 -226.377899 417.211914	1.740 4.771 -92.905
ttt_random_weapon	96.999298 -284.086304 417.230804	1.527 4.756 -93.395
ttt_random_weapon	-904.156494 -285.110901 -106.811203	2.001 4.922 -92.308
ttt_random_weapon	-1075.523315 -835.845886 -1.791500	1.779 4.709 -92.817
item_ammo_smg1_ttt	535.070374 -126.394096 0.494900	0.290 -0.065 0.218
item_ammo_smg1_ttt	518.896423 -127.213898 0.389100	0.099 -0.005 0.054
item_ammo_smg1_ttt	64.814697 -1503.816040 -36.542500	-0.088 0.912 -0.041
item_ammo_smg1_ttt	50.772400 -1506.519653 -36.616299	0.079 -0.005 0.040
item_ammo_smg1_ttt	-876.759399 167.373901 -131.562897	1.103 0.002 0.727
item_ammo_smg1_ttt	-861.557129 174.210403 -131.519806	0.212 0.000 0.022
item_ammo_smg1_ttt	-2072.608887 -143.429993 0.475900	0.559 -0.074 0.254
item_ammo_smg1_ttt	-2091.298828 -148.764297 0.420200	0.423 -0.004 0.272
item_ammo_smg1_ttt	-2181.438965 322.959686 0.466400	0.559 -0.021 0.429
item_ammo_smg1_ttt	-2169.257568 322.113586 0.498600	-0.101 -0.034 0.375
item_ammo_smg1_ttt	-195.465805 -276.643585 0.420100	0.423 -0.004 0.272
item_ammo_smg1_ttt	221.314499 -1232.360229 432.077087	-0.413 0.004 -0.326
item_ammo_smg1_ttt	180.789597 -985.678528 414.631805	-0.170 0.005 0.102
item_ammo_smg1_ttt	153.335403 -991.510681 414.730286	0.826 -0.010 -0.613
item_ammo_smg1_ttt	25.759001 -33.870602 471.386414	0.088 -0.005 0.046
item_ammo_smg1_ttt	-1233.157471 223.636398 0.494000	-0.022 -0.017 -0.042
item_ammo_smg1_ttt	-1217.573730 224.467896 0.404200	-0.189 0.005 0.115
item_ammo_smg1_ttt	-1986.163086 -577.424377 0.515300	-0.253 0.014 -0.222
item_ammo_smg1_ttt	-1970.821167 -574.873291 0.478400	0.210 0.000 0.026
item_ammo_smg1_ttt	-380.114685 -687.066528 332.485291	-0.796 0.003 -0.646
item_ammo_smg1_ttt	-417.167786 -403.302795 332.529205	0.189 -0.017 -0.164
item_ammo_smg1_ttt	-420.745087 -379.632507 332.531311	0.225 -0.497 0.079
item_ammo_smg1_ttt	-1487.013428 -941.292480 -2.616300	0.079 -0.005 0.040
weapon_ttt_m16	-176.767593 -222.438400 1.176600	2.227 -8.225 84.434
weapon_ttt_m16	-176.526093 690.297119 1.194200	1.984 -4.885 85.626
weapon_ttt_m16	2.379400 -1346.976685 -35.881500	1.689 -0.614 85.898
weapon_ttt_m16	-825.575317 -47.536201 -12.957800	-28.248 8.791 91.184
weapon_ttt_m16	-823.108215 -9.670500 -12.656000	-30.621 9.549 91.512
weapon_ttt_m16	-1301.446777 14.238800 43.215500	2.126 -2.220 85.016
weapon_ttt_m16	461.692291 -1169.272949 416.065308	1.817 -7.722 84.055
weapon_ttt_m16	336.869507 -453.111511 417.337708	1.646 -7.174 85.937
weapon_ttt_m16	-1968.338013 -452.643402 1.171400	1.812 6.752 85.438
item_box_buckshot_ttt	461.835907 -640.542725 -66.601997	-0.921 -0.009 0.818
item_box_buckshot_ttt	446.890411 -641.881775 -66.601997	-0.921 -0.009 0.818
item_box_buckshot_ttt	-1361.416016 -231.016602 30.398500	-0.922 -0.009 0.818
item_box_buckshot_ttt	-1362.934937 -241.372192 30.426001	-0.682 -0.007 0.605
item_box_buckshot_ttt	-886.712402 860.362122 0.373700	0.753 -0.022 -0.523
item_box_buckshot_ttt	-898.071106 861.887329 0.389400	-0.994 0.020 0.880
item_box_buckshot_ttt	-1225.621094 327.292603 -131.598099	-0.870 -0.012 0.773
item_box_buckshot_ttt	-1218.224976 344.502808 -131.629898	0.775 0.008 -0.534
item_box_buckshot_ttt	-991.565430 495.241913 0.425500	-0.676 -0.006 0.601
item_box_buckshot_ttt	-1006.189392 492.097412 0.338100	0.452 0.004 -0.356
item_box_buckshot_ttt	-7.392900 7.626100 0.431200	-0.642 -0.007 0.570
item_box_buckshot_ttt	-16.624800 10.967400 0.435900	-0.605 -0.007 0.536
item_box_buckshot_ttt	558.994385 -983.768616 414.604095	0.753 -0.022 -0.521
item_box_buckshot_ttt	544.787781 -986.463928 414.613403	-0.623 -0.005 0.591
item_box_buckshot_ttt	-876.632874 -624.400513 0.385900	-1.216 -0.015 1.068
item_box_buckshot_ttt	-899.016174 -622.772278 0.438000	-0.587 -0.007 0.521
item_box_buckshot_ttt	-1125.106079 36.685902 -131.623505	0.491 0.018 -0.313
item_box_buckshot_ttt	-1110.687500 34.360500 -131.588196	-0.793 -0.006 0.704
ttt_random_ammo	-75.490700 877.964783 0.378300	-0.138 -0.000 0.105
ttt_random_ammo	77.544502 875.654114 0.351200	0.053 -0.000 0.011
ttt_random_ammo	-1147.369751 -431.387787 -131.657700	0.048 -0.000 0.021
ttt_random_ammo	47.678902 -916.310730 272.317505	0.047 -0.000 0.035
ttt_random_ammo	-139.489899 -1307.004395 415.351990	-0.053 -0.000 -0.011
ttt_random_ammo	-243.325897 -1313.939941 415.372589	-0.102 -0.000 0.059
ttt_random_ammo	223.578598 -1197.880737 431.915710	-0.043 0.000 0.030
ttt_random_ammo	-36.403500 -1313.541382 415.389709	-0.282 -0.001 0.285
ttt_random_ammo	261.653107 -1075.757080 189.394196	0.946 0.011 1.097
ttt_random_ammo	251.245605 -1410.406738 99.392197	0.615 0.005 0.693
ttt_random_ammo	328.135986 -1414.682617 99.357498	0.060 0.000 0.001
ttt_random_ammo	492.894714 -1417.826172 279.327911	0.047 -0.000 0.031
ttt_random_ammo	486.849091 -1406.655396 53.436901	1.291 0.032 1.568
ttt_random_ammo	492.962585 -1068.508179 -36.642502	0.060 -0.000 -0.001
ttt_random_ammo	321.872498 -1092.976440 -36.589001	0.498 -0.482 2.403
ttt_random_ammo	62.269402 -361.881104 414.654388	1.458 0.034 1.760
ttt_random_ammo	680.278687 -348.072296 414.599213	0.088 0.000 0.042
ttt_random_ammo	685.193970 -1008.936523 414.599091	0.089 -0.000 -0.044
ttt_random_ammo	57.252998 -1010.121887 414.615204	0.267 -0.001 -0.268
ttt_random_ammo	-224.799103 -262.538208 166.448898	-1.626 -0.037 1.979
ttt_random_ammo	310.593414 -257.959991 166.330399	0.046 -0.000 0.030
