# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: dm_peachs_castle
# Exported by: {CG} Phoenixf129
setting:	replacespawns 0
weapon_zm_pistol	1589.1086 -3875.5137 231.2569	0.476 36.001 88.962
item_ammo_pistol_ttt	-838.1572 -2257.1589 -376.5360	0.703 1.117 -0.002
item_ammo_pistol_ttt	-2638.1355 -2337.3311 -376.5396	0.776 1.073 -0.002
item_ammo_pistol_ttt	-1401.2114 -2576.6875 704.4127	-0.470 3.647 -0.106
item_ammo_pistol_ttt	-2151.4751 -2576.9998 704.3919	-0.413 3.544 -0.087
item_ammo_pistol_ttt	-434.0916 -2304.9355 910.4342	0.091 0.221 0.002
weapon_zm_revolver	-334.8638 -2166.3418 -242.5839	31.333 1.606 2.891
weapon_zm_revolver	-336.0533 -2142.2332 -245.0215	3.222 -20.973 -83.708
weapon_zm_revolver	-31.8017 -3161.1675 575.9019	2.454 -25.544 -83.502
weapon_zm_revolver	-407.7902 -2774.1555 575.9764	2.892 -20.897 -84.265
weapon_zm_revolver	-386.3853 -2777.6157 575.9265	2.409 -18.190 -84.335
weapon_zm_revolver	-1591.8387 -2708.3242 705.9337	2.447 -21.420 -84.418
weapon_zm_revolver	-1955.8423 -2707.8596 705.9181	2.439 -25.376 -83.867
weapon_zm_revolver	-798.2562 -2610.3728 -375.0631	2.761 -20.104 -83.675
weapon_zm_revolver	-1229.8096 -3426.3359 -341.0422	2.548 -20.184 -84.501
ttt_random_weapon	-302.1282 -633.4598 761.1961	1.919 4.718 -92.497
ttt_random_weapon	-452.9494 -230.2198 761.2399	1.423 4.663 -93.631
ttt_random_weapon	278.6352 -439.7845 761.2067	1.800 4.711 -92.770
ttt_random_weapon	-1516.9681 183.5847 -414.7820	1.673 4.698 -93.061
ttt_random_weapon	-1565.1472 -1401.5225 -78.7972	1.844 4.714 -92.668
ttt_random_weapon	1539.5530 -240.2891 -78.8112	2.001 4.288 -92.309
ttt_random_weapon	2005.8441 2328.4929 -84.2838	-4.486 -12.125 89.563
ttt_random_weapon	-68.9828 -2061.1423 -13.7816	1.667 5.525 -93.073
ttt_random_weapon	851.8751 -2140.2639 65.1977	1.901 4.718 -92.537
ttt_random_weapon	327.9300 -3284.7192 -130.7798	1.648 4.695 -93.118
ttt_random_weapon	-828.1716 -2520.2905 99.2210	1.638 4.694 -93.139
ttt_random_weapon	-614.6810 -2876.4841 -30.7763	1.608 4.691 -93.210
ttt_random_weapon	-321.6631 -2878.6553 -30.8008	1.884 4.716 -92.576
ttt_random_weapon	605.0634 -5809.4492 -95.8063	1.946 4.720 -92.435
ttt_random_weapon	662.3839 -4969.2559 -95.8039	1.919 4.718 -92.497
ttt_random_weapon	-853.2652 -5852.8389 -95.7986	1.860 4.715 -92.632
ttt_random_weapon	-775.1198 -4990.9106 -95.8001	1.876 4.716 -92.595
ttt_random_weapon	-277.2794 -2306.4700 -245.7749	1.591 4.689 -93.247
ttt_random_weapon	-2118.2283 -1638.2311 -342.7915	1.779 4.709 -92.817
ttt_random_weapon	879.9287 -2020.7825 -407.7946	1.814 4.712 -92.737
item_ammo_smg1_ttt	-1360.6537 -3277.7444 -444.5431	-0.337 -2.367 -0.286
item_ammo_smg1_ttt	-1360.8931 -3297.6536 -444.5103	-0.384 -0.113 -0.210
item_ammo_smg1_ttt	691.1541 658.0137 -415.5934	-0.214 0.005 0.132
item_ammo_smg1_ttt	710.7416 626.1937 -415.5182	0.381 0.001 -0.366
weapon_zm_shotgun	-325.5795 -4767.0283 1796.2727	-0.328 9.133 84.036
weapon_zm_shotgun	278.9624 -1473.4429 1075.2704	-0.302 8.840 83.911
weapon_zm_shotgun	-327.8047 -1358.7069 911.2559	-0.410 8.999 83.911
weapon_zm_shotgun	-331.2255 -2768.5981 575.0388	-0.854 -9.906 -88.305
weapon_zm_shotgun	-1659.2076 -3365.0884 705.2593	-0.175 10.689 83.319
weapon_zm_shotgun	-1891.3080 -3364.7046 705.2688	-0.283 9.727 83.825
weapon_zm_shotgun	-171.7825 -2369.5786 125.2533	-0.423 9.676 83.892
weapon_zm_shotgun	41.6432 -2365.0625 125.0409	-0.900 -9.757 -88.618
weapon_zm_shotgun	1247.0668 -2240.6802 65.0177	-0.432 -9.327 -84.177
weapon_zm_shotgun	520.3375 -2889.4619 -62.9866	-0.192 -9.424 -83.400
weapon_zm_shotgun	-588.8855 -3128.1794 -96.7327	-0.385 9.370 84.081
weapon_zm_shotgun	-829.1728 -2228.5337 99.2559	-0.432 9.128 83.970
weapon_zm_shotgun	-1681.4055 -2182.2317 99.2767	-0.374 8.446 84.248
weapon_zm_shotgun	-1029.4008 -2928.0688 247.2571	-0.388 9.137 83.873
weapon_zm_shotgun	1701.4762 -3989.2871 232.2288	-0.385 8.980 83.267
weapon_zm_shotgun	1218.2158 828.2103 -414.7337	-0.255 8.548 83.692
weapon_zm_shotgun	1964.1371 -218.7033 -81.6282	0.699 -9.213 -94.122
weapon_zm_shotgun	1101.5878 -1235.3246 497.2468	-0.411 9.181 83.720
weapon_zm_shotgun	-917.0573 1801.9655 -277.7996	-8.232 -8.136 -86.458
weapon_zm_shotgun	-1084.1062 -4764.7876 -24.7249	-0.356 9.127 84.164
weapon_zm_shotgun	-69.2834 -5428.6597 36.4001	9.561 -0.394 -1.560
weapon_zm_shotgun	-237.6620 -2164.8655 -245.7129	0.069 9.000 83.220
weapon_zm_shotgun	-1816.1694 -1632.1504 -342.9610	-0.859 -9.760 -88.339
weapon_zm_shotgun	480.4379 -2657.6553 -375.9896	-0.419 -9.219 -83.984
weapon_zm_shotgun	-985.0468 -3348.1096 -443.7762	-0.320 8.985 82.977
weapon_zm_shotgun	-2643.3176 -2537.7222 -375.7299	-0.299 7.880 83.898
weapon_zm_shotgun	342.7676 -3621.5154 -131.0123	-0.032 4.219 -83.386
weapon_zm_shotgun	-64.6161 -3663.8767 -30.7376	-0.366 9.225 83.923
weapon_zm_shotgun	956.7018 -4771.1558 -25.0097	-0.057 4.229 -83.468
weapon_zm_shotgun	-1012.7614 -2898.7632 641.0206	-0.329 4.252 -84.314
weapon_zm_shotgun	-789.2119 -2045.9852 1042.0055	-0.198 4.278 -83.939
weapon_zm_shotgun	-1732.7968 -2270.1667 99.0375	-0.826 -9.586 -88.114
weapon_ttt_m16	-480.7148 -3664.9788 -95.6197	2.289 -11.415 -85.163
weapon_ttt_m16	48.6743 -3492.7827 -373.6229	2.284 -11.734 -85.157
weapon_ttt_m16	139.6812 -2037.9379 1043.3861	2.285 -11.063 -85.264
