# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: dm_island17
# Exported by: {CG} קнσєηιχƒ129
setting:	replacespawns 1
weapon_zm_pistol	-954.1616 819.7568 192.3452	0.007 35.074 89.097
weapon_zm_pistol	311.6849 446.4830 34.8196	0.535 -40.183 -88.712
weapon_zm_pistol	759.8246 243.3711 2.0507	2.916 -41.535 -93.348
weapon_zm_pistol	-1954.7568 -1304.9735 -447.6306	0.255 36.608 89.425
weapon_zm_pistol	-2559.2495 -1192.4178 -459.3762	-7.613 35.099 95.726
item_ammo_pistol_ttt	-2457.1453 -1003.8586 -305.5674	69.463 -165.091 -160.067
item_ammo_pistol_ttt	-2432.1504 -1023.8680 -312.5798	69.258 -165.211 -160.723
item_ammo_pistol_ttt	367.1973 1820.5183 -13.7893	7.816 0.223 3.056
item_ammo_pistol_ttt	238.5071 1858.7563 5.3943	9.630 -0.208 -3.882
item_ammo_pistol_ttt	-957.2004 855.8906 192.3430	-0.136 -0.019 -0.041
item_ammo_pistol_ttt	-978.8782 884.0967 192.3904	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	332.1599 457.4731 33.5525	0.539 -0.116 -1.792
item_ammo_pistol_ttt	-948.2042 -424.8038 -15.6332	1.560 -0.178 -3.387
item_ammo_pistol_ttt	-2161.0713 -249.0908 -434.8906	-5.022 0.272 0.783
item_ammo_pistol_ttt	-1716.7883 417.6815 -257.6750	0.028 -0.005 5.226
item_ammo_pistol_ttt	-1725.9563 340.0854 -264.5840	-0.069 2.404 5.155
item_ammo_pistol_ttt	-1443.1891 -430.4618 -183.6692	-0.147 -0.018 -0.044
item_ammo_pistol_ttt	-2530.2275 -1255.9858 -458.2478	5.168 -29.614 -171.053
item_ammo_pistol_ttt	-2504.3970 -1238.2264 -465.9909	-0.714 0.517 9.870
weapon_zm_revolver	-223.6626 -159.8028 24.6476	2.344 45.034 83.627
weapon_zm_revolver	-248.0589 -150.3348 25.9381	2.421 -20.406 -84.319
weapon_zm_revolver	-260.5132 -49.4570 25.9421	2.622 -21.758 -84.036
ttt_random_weapon	-169.5053 582.5368 -11.1421	1.827 4.968 -91.800
ttt_random_weapon	-669.4713 -743.6586 -314.8103	1.991 4.921 -92.331
ttt_random_weapon	-135.7964 1655.4294 65.2100	1.573 7.578 -98.225
ttt_random_weapon	-908.9251 1285.6975 190.5316	6.744 10.351 -93.343
ttt_random_weapon	-999.3420 -1302.9664 -467.1460	10.065 2.434 -88.281
ttt_random_weapon	-352.9747 -1084.7806 -494.0688	-6.020 -8.846 87.741
ttt_random_weapon	9.6649 -533.0482 -485.9282	9.737 6.786 -91.932
ttt_random_weapon	121.4157 111.4272 -480.7772	1.007 7.419 -94.485
ttt_random_weapon	176.7843 152.2336 -480.7838	1.692 4.925 -93.016
ttt_random_weapon	31.1645 648.6691 -497.8945	-7.469 7.393 -96.551
ttt_random_weapon	-707.7034 760.4827 -483.7290	-2.506 -8.852 87.741
ttt_random_weapon	-1591.4966 1314.2297 -225.8155	-2.885 -11.833 92.173
ttt_random_weapon	-1025.6804 1892.1877 -65.6470	-22.552 -5.004 91.676
ttt_random_weapon	-470.3024 1920.7030 26.0606	-2.824 7.598 -98.740
ttt_random_weapon	241.6407 1889.7981 3.5231	9.995 -1.400 -96.577
ttt_random_weapon	601.8110 1309.2119 -122.3459	-1.820 -6.478 92.677
ttt_random_weapon	906.2011 600.6743 -190.5473	1.768 -12.971 91.945
ttt_random_weapon	902.0895 -233.3784 -275.5754	4.180 -10.983 87.657
ttt_random_weapon	-652.6230 -617.0844 -315.8157	3.165 5.239 -93.092
ttt_random_weapon	-1756.0963 -1634.5471 -471.2240	-0.797 -18.717 -89.912
ttt_random_weapon	-1398.7601 -1841.8990 -500.5006	3.104 -7.417 104.763
ttt_random_weapon	442.2066 -33.5402 33.1984	1.893 4.781 -92.556
ttt_random_weapon	-2326.1467 -454.3195 -446.6204	-1.756 4.869 -92.772
ttt_random_weapon	-2111.4761 187.0132 -318.8006	1.882 4.926 -92.582
ttt_random_weapon	-2349.7153 1620.4198 -479.3699	0.383 6.816 -99.764
ttt_random_weapon	139.2148 2044.0812 0.6033	3.053 102.470 -85.931
ttt_random_weapon	-1829.2748 566.0300 -300.8124	5.895 -131.692 -101.692
ttt_random_weapon	-1531.3318 117.2719 -313.6099	8.803 169.365 -103.891
ttt_random_weapon	-567.2526 397.2694 -277.4651	3.452 127.095 -95.708
ttt_random_weapon	-455.7151 -124.4288 -30.6777	10.880 173.948 -95.077
ttt_random_weapon	-34.6296 62.1065 929.2009	1.866 4.928 -92.619
ttt_random_weapon	224.2669 56.2773 801.2438	1.039 173.142 -94.665
ttt_random_weapon	111.8385 3.5780 801.2246	1.598 4.921 -93.232
ttt_random_weapon	431.2145 -558.0624 -300.4313	-5.873 -6.878 89.692
item_ammo_smg1_ttt	-1819.0911 1014.9225 -239.4961	-0.733 0.011 -0.553
weapon_zm_shotgun	-1359.5745 227.3636 -307.3385	0.609 8.333 84.826
weapon_zm_shotgun	-1563.9713 -699.2537 -183.0027	-0.415 -9.325 -83.692
weapon_zm_shotgun	-1220.8279 877.5024 193.5539	-0.777 9.685 94.238
weapon_ttt_m16	-2408.8633 -1028.1401 -322.7562	22.054 5.106 81.416
weapon_ttt_m16	-853.8484 1952.6388 -21.9006	-0.372 -5.015 -78.148
weapon_ttt_m16	-859.8738 405.8420 58.4344	7.378 2.837 93.278
weapon_ttt_m16	-1355.3546 712.8035 -78.8575	2.148 -8.364 84.290
weapon_ttt_m16	-1867.9144 690.2288 -238.8504	1.659 -8.749 85.272
weapon_ttt_m16	-1718.2749 373.7955 -259.6868	2.867 -10.689 -80.311
weapon_ttt_m16	-1728.1384 437.9833 -253.9980	2.698 -11.471 -80.422
weapon_ttt_m16	-1457.1418 -387.8250 -179.0578	-30.436 11.153 90.263
weapon_zm_molotov	-260.4737 -154.5351 28.5211	0.487 0.005 -0.179
weapon_zm_molotov	-263.9973 -132.8535 28.5607	3.484 -0.129 -3.608
weapon_zm_molotov	-240.5953 -115.1063 28.5366	2.008 0.003 -1.884
weapon_zm_molotov	-227.3658 -131.6577 28.5479	3.810 -0.142 -3.946
weapon_zm_molotov	-217.1648 -150.2116 28.5768	3.034 -0.136 -3.134
weapon_zm_molotov	-248.3678 -173.3732 28.5317	0.991 0.012 -0.754
weapon_zm_molotov	-290.3992 -128.2703 28.6129	2.026 -0.122 -2.088
weapon_zm_molotov	-2328.7095 1648.9083 -482.6480	-39.627 168.067 101.676
weapon_zm_molotov	-2322.8247 1626.8123 -479.5618	38.491 -30.927 -103.381
weapon_zm_molotov	-1666.5846 -1163.4050 -443.4410	3.532 -0.115 -3.681
weapon_zm_molotov	-993.2800 307.1904 58.6017	2.902 -54.862 110.916
weapon_zm_molotov	-52.7648 978.7628 -211.1816	19.842 -154.947 -89.985
weapon_zm_molotov	77.0515 1045.6118 -202.6848	5.415 -38.331 -87.342
weapon_zm_molotov	-57.9430 48.7834 804.6030	2.321 -0.126 -2.396
weapon_zm_molotov	-44.9186 33.9416 804.5721	3.185 -0.138 -3.297
weapon_zm_molotov	-3.8736 -52.6577 804.5627	3.344 -0.129 -3.444
weapon_zm_molotov	-41.4549 -19.4492 804.5211	0.490 0.005 -0.182
weapon_zm_sledge	-973.6573 -444.5116 -9.6249	20.404 1.965 1.102
weapon_zm_sledge	-707.3529 -1371.9373 -328.4281	18.529 0.204 2.866
weapon_zm_sledge	-46.3537 140.1429 804.4320	18.581 0.345 2.943
item_box_buckshot_ttt	-1326.5432 208.2183 -309.1290	1.125 -0.201 0.858
item_box_buckshot_ttt	-1329.2629 193.8021 -309.2963	1.109 -0.205 0.869
item_box_buckshot_ttt	-527.5038 -265.4422 -49.7386	-5.687 -0.133 7.981
item_box_buckshot_ttt	-1212.3984 907.7144 192.3861	-1.005 -0.011 0.896
ttt_random_ammo	285.8494 -103.9153 32.3468	0.049 0.000 -0.017
ttt_random_ammo	320.9462 -86.8126 32.3533	0.054 0.000 -0.008
ttt_random_ammo	31.3215 -117.4130 32.3762	0.131 0.000 0.098
ttt_random_ammo	-201.5185 -111.8599 24.4492	0.981 -0.026 -1.189
ttt_random_ammo	-236.3242 -93.0623 24.3934	1.449 -0.025 -1.710
ttt_random_ammo	-1188.1575 -470.0378 -325.0585	87.914 176.650 89.754
ttt_random_ammo	-1117.6075 -642.0096 -320.6586	-0.533 -0.382 1.016
ttt_random_ammo	-740.6793 -1405.0758 -332.3994	0.991 0.026 1.204
ttt_random_ammo	-720.9373 -1354.0930 -332.4875	0.066 0.000 0.013
ttt_random_ammo	-160.6217 -965.4369 -494.1303	6.192 0.830 -0.849
ttt_random_ammo	-452.4551 -927.2587 -481.5669	7.434 -1.290 3.024
ttt_random_ammo	22.8615 74.9131 -492.2139	10.344 1.385 -0.665
ttt_random_ammo	-964.6863 753.1442 -489.8557	-0.317 0.333 -7.720
ttt_random_ammo	-1829.5134 981.0750 -482.5582	-0.170 0.623 -3.000
ttt_random_ammo	-1847.2737 1034.4559 -484.5782	-0.326 0.222 -2.838
ttt_random_ammo	-1945.5350 1024.8434 -239.6600	0.047 0.000 -0.023
ttt_random_ammo	-1999.2421 724.0687 -239.5881	1.599 0.035 1.916
ttt_random_ammo	-1487.4301 61.2700 -317.9111	-0.870 -1.586 6.100
ttt_random_ammo	-588.0429 236.8649 -285.1119	-4.147 55.269 88.751
ttt_random_ammo	-1812.7361 1170.3311 -241.1146	-86.489 -127.656 -63.040
ttt_random_ammo	-585.2603 523.7003 -272.8541	81.074 71.875 -59.891
ttt_random_ammo	-334.7806 1283.5233 75.2813	-19.182 133.269 -77.362
ttt_random_ammo	104.6821 -18.6398 800.3691	0.090 -0.000 -0.044
ttt_random_ammo	126.8080 -11.0596 800.3423	0.048 0.000 -0.021
ttt_random_ammo	419.7343 -572.1562 -303.7517	-6.344 1.121 3.544
ttt_random_ammo	431.5299 -577.9517 -303.0665	-6.415 1.105 3.545
weapon_zm_mac10	-1846.3453 1031.8013 -238.7935	-0.132 -44.437 -88.517
item_ammo_357_ttt	-1262.7456 820.6322 72.3854	0.461 0.057 0.033
item_ammo_357_ttt	-1238.9624 809.5604 72.3915	0.463 0.057 0.031
item_ammo_357_ttt	-1243.2716 822.0405 72.3605	0.457 0.060 0.043
item_ammo_357_ttt	162.6280 162.3083 928.3759	0.459 0.056 0.038
item_ammo_357_ttt	201.2143 132.4603 928.3345	0.451 0.065 0.054
item_ammo_357_ttt	228.5779 162.4662 928.3972	0.463 0.055 0.029
item_ammo_revolver_ttt	-216.7656 -50.4353 24.3261	0.449 0.068 0.058
item_ammo_revolver_ttt	-295.4294 -177.3416 24.4210	0.468 0.054 0.020
item_ammo_revolver_ttt	-289.1051 -143.0767 24.3283	0.450 0.068 0.057
item_ammo_revolver_ttt	-259.2272 -106.2555 25.3013	0.260 2.267 13.513
ttt_playerspawn	-1242.5453 940.7348 -63.6018	-0.014 -0.000 0.014
ttt_playerspawn	-2145.1841 -542.8903 -442.0516	-1.378 -0.694 5.222
ttt_playerspawn	-1524.2823 -456.4728 -319.5996	-0.024 -0.000 0.024
ttt_playerspawn	-1512.8900 -709.4053 -319.6416	-0.018 -0.000 0.018
ttt_playerspawn	-1332.9354 -492.8724 -319.6460	0.020 0.000 0.020
ttt_playerspawn	-740.9045 -776.2310 -315.6153	-0.024 -0.000 0.024
ttt_playerspawn	-906.6395 -1025.3716 -332.4563	0.014 0.000 0.013
ttt_playerspawn	-1349.1096 -725.8852 -183.5883	-0.011 -0.000 0.011
ttt_playerspawn	-11.0208 145.9012 928.3455	-0.035 0.000 -0.035
ttt_playerspawn	193.4854 164.1016 800.4359	-0.015 0.000 -0.015
ttt_playerspawn	162.2502 84.1617 -481.5831	-0.021 -0.000 0.021
ttt_playerspawn	-1814.5820 1213.7400 -488.1577	-2.159 0.392 0.175
ttt_playerspawn	-2229.0720 148.2404 -446.8221	0.126 -0.017 -2.543
ttt_playerspawn	-1427.2241 426.4209 -301.0039	-0.862 0.154 1.545
ttt_playerspawn	-2018.0370 1056.9705 -239.6307	0.017 0.000 0.017
ttt_playerspawn	-1666.4722 1275.4951 -232.5060	-3.114 -0.027 2.531
ttt_playerspawn	-162.3963 838.4452 -14.2002	0.061 0.062 -1.253
ttt_playerspawn	-142.0239 73.8720 28.6987	-1.154 -0.569 1.666
ttt_playerspawn	389.5236 -29.8696 32.4507	-0.006 -0.000 0.006
ttt_playerspawn	161.6576 251.1657 32.3358	-0.019 -0.000 0.019
ttt_playerspawn	833.5901 65.8147 -3.6445	-0.018 -0.000 0.018
ttt_playerspawn	-1687.1447 -1364.3685 -447.6001	-0.029 -0.000 0.029
weapon_zm_rifle	-1256.6290 808.0096 73.3213	3.381 11.118 64.454
weapon_zm_rifle	-1237.6276 799.8397 73.3899	3.309 11.788 65.579
weapon_zm_rifle	48.8026 183.2069 929.3701	3.287 13.189 65.245
weapon_zm_rifle	108.8686 226.2362 929.3768	3.732 15.609 64.693
weapon_ttt_smokegrenade	-286.1781 -105.8575 28.5966	2.501 -0.128 -2.582
weapon_ttt_smokegrenade	-241.7240 -161.7447 28.5164	0.390 0.003 -0.062
weapon_ttt_smokegrenade	-2497.7686 1531.0070 -474.4597	13.338 -10.728 -97.585
weapon_ttt_smokegrenade	-2582.6865 324.5190 -454.1672	-81.243 -129.332 138.182
weapon_ttt_smokegrenade	-3330.5381 -18.0886 -631.2698	76.615 -24.375 -99.147
weapon_ttt_smokegrenade	0.4279 -37.0613 804.5065	0.286 0.003 0.073
weapon_ttt_smokegrenade	-24.9290 -8.9300 804.6042	2.286 -0.124 -2.360
weapon_ttt_smokegrenade	-42.1670 16.3730 804.5188	0.436 0.004 -0.118
weapon_ttt_confgrenade	-258.5762 -99.2880 26.0065	35.646 0.462 115.938
weapon_ttt_confgrenade	-239.9912 -69.5361 27.5133	1.798 0.256 1.543
weapon_ttt_confgrenade	-219.2206 -89.0848 27.4817	1.998 0.097 -0.511
weapon_ttt_confgrenade	-213.5045 -70.6497 27.5116	1.642 0.132 -0.418
weapon_ttt_confgrenade	-283.0998 -92.9075 27.5133	1.798 0.256 1.543
weapon_ttt_confgrenade	-275.6801 -154.7369 27.5291	1.433 0.142 -0.366
weapon_ttt_confgrenade	-224.9620 -151.9997 27.5843	0.259 -2.898 0.162
weapon_ttt_confgrenade	-1846.5353 1026.2700 -481.1130	-0.782 0.125 -4.872
weapon_ttt_confgrenade	-2490.5220 1541.0505 -475.1924	-45.842 37.024 -111.450
weapon_ttt_confgrenade	-2482.2073 1518.2723 -472.6110	-45.904 36.930 -111.251
weapon_ttt_confgrenade	-58.8043 68.6719 803.5236	1.499 0.153 -0.383
weapon_ttt_confgrenade	-35.4531 62.4998 803.5395	1.309 0.139 -0.334
weapon_ttt_confgrenade	-73.1537 -13.3774 803.4841	1.968 0.095 -0.502
