# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_smugglersbay
# Exported by: -cG- Jay*Star
setting:	replacespawns 1
weapon_zm_pistol	213.0060 -1296.6302 -672.8946	-0.619 -34.999 -90.644
weapon_zm_pistol	-1638.7349 -1491.2792 -789.3786	1.662 -42.061 -93.231
weapon_zm_pistol	-1489.0889 -1314.6937 -421.7132	-0.129 36.017 88.254
item_ammo_pistol_ttt	-343.2214 -289.7430 -489.3027	-0.039 -0.008 0.049
item_ammo_pistol_ttt	-362.3785 -290.6398 -489.2771	0.128 -0.062 -0.012
item_ammo_pistol_ttt	-24.8025 -681.4777 -603.7571	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	1361.9563 -2138.7244 -646.8871	8.499 0.252 0.057
item_ammo_pistol_ttt	145.1778 -2166.4402 -606.8209	0.465 -0.857 -11.560
item_ammo_pistol_ttt	-1591.6746 -1721.2867 -786.7454	-0.092 -0.020 -0.028
item_ammo_pistol_ttt	-1606.1443 -1104.4585 -419.4294	-0.147 0.875 14.229
item_ammo_pistol_ttt	-491.2513 -14.0380 -391.6435	-0.124 -0.019 -0.038
item_ammo_pistol_ttt	-490.4836 53.9260 -391.6770	-0.154 -0.018 -0.047
item_ammo_pistol_ttt	1221.9487 404.2693 -615.6292	-0.112 -0.019 -0.034
item_ammo_pistol_ttt	1646.1515 -1384.2705 -766.2863	-0.089 -0.020 -0.027
item_ammo_pistol_ttt	-445.4341 -980.5482 -627.7571	-0.102 -0.020 -0.031
item_ammo_pistol_ttt	-142.9136 -979.3047 -627.7804	-0.122 -0.019 -0.037
item_ammo_pistol_ttt	-1218.5043 -1965.8789 -602.6926	3.988 -1.157 -8.104
item_ammo_pistol_ttt	978.3790 205.8758 -615.6332	-0.115 -0.019 -0.035
item_ammo_pistol_ttt	785.9319 -277.0596 -785.2221	-78.228 150.505 -152.300
item_ammo_pistol_ttt	807.3771 -265.8899 -782.4823	-78.309 150.357 -152.151
item_ammo_pistol_ttt	-623.3633 -103.0910 -255.6594	-0.138 -0.019 -0.042
item_ammo_pistol_ttt	-107.6500 -1374.8018 -638.1010	0.033 0.028 0.005
item_ammo_pistol_ttt	-123.6179 -1379.1921 -637.2191	0.259 -0.251 -5.594
item_ammo_pistol_ttt	207.7760 -1310.6532 -674.0963	-0.142 -0.019 -0.043
item_ammo_pistol_ttt	-930.4822 -1062.3134 -788.0729	0.288 -0.069 -0.814
item_ammo_pistol_ttt	-911.0667 -1063.0731 -788.2191	0.291 -0.069 -0.813
item_ammo_pistol_ttt	-1637.7241 -1511.2349 -790.5977	3.608 -0.091 0.068
item_ammo_pistol_ttt	-1655.8971 -1494.6635 -789.5350	3.658 -0.247 0.090
item_ammo_pistol_ttt	-1471.5956 -1300.6573 -421.6217	-0.105 -0.020 -0.032
item_ammo_pistol_ttt	-1491.6160 -1293.0699 -421.6414	-0.122 -0.019 -0.037
weapon_zm_revolver	1648.1787 -1210.7692 -764.7974	2.469 -20.319 -83.135
weapon_zm_revolver	1552.7701 -1894.4747 -795.0721	2.511 -20.556 -83.955
weapon_zm_revolver	1557.8041 -2416.7771 -645.2632	2.557 -20.521 -83.520
weapon_zm_revolver	-547.7025 -2043.1616 -581.3885	-1.240 -23.311 -93.931
weapon_zm_revolver	-1436.6917 -2185.5642 -616.0660	2.790 -20.089 -83.562
weapon_zm_revolver	-1682.6680 -1024.1884 -791.3994	5.966 -30.773 -89.006
weapon_zm_revolver	-1605.9459 -872.7881 -420.1158	2.471 -20.318 -83.105
weapon_zm_revolver	-508.8848 209.7534 -518.0957	2.452 -19.551 -83.555
weapon_zm_revolver	-174.8251 245.9288 -584.1232	2.515 -20.761 -83.558
weapon_zm_revolver	-95.3659 -433.4164 -626.2663	2.481 -20.296 -82.846
weapon_zm_revolver	-452.0948 -297.5106 -636.1434	0.682 -20.522 -83.669
item_ammo_smg1_ttt	-1623.4381 -2029.7896 -658.4479	0.973 -0.124 0.413
item_ammo_smg1_ttt	-529.1735 -2206.9546 -549.4676	-2.088 -0.755 -11.304
item_ammo_smg1_ttt	-172.7625 -1315.8965 -637.9199	0.800 -0.062 -0.183
item_ammo_smg1_ttt	-64.7805 -1445.1753 -674.0014	-0.752 0.002 0.492
item_ammo_smg1_ttt	-102.2683 -198.2989 -585.5901	0.081 0.051 -0.016
item_ammo_smg1_ttt	930.4504 27.7740 -499.6117	0.153 -0.005 0.091
item_ammo_smg1_ttt	925.3346 21.2790 -363.5952	-0.337 0.005 0.215
item_ammo_smg1_ttt	-1599.1703 -1273.8252 -421.5075	0.093 -3.142 0.371
item_ammo_smg1_ttt	-141.2295 -725.9307 -627.6281	-0.699 -0.176 -0.107
item_ammo_smg1_ttt	-750.8322 -298.7603 -631.1334	0.956 0.121 0.100
item_ammo_smg1_ttt	-728.7575 -294.9622 -631.4491	0.854 0.092 0.119
item_ammo_smg1_ttt	-241.1885 247.6609 -519.5198	0.212 0.000 0.022
item_ammo_smg1_ttt	-271.0481 244.7984 -519.5018	-0.040 0.515 0.093
item_ammo_smg1_ttt	6.5271 -1198.9863 -791.5648	4.641 0.000 -0.329
item_ammo_smg1_ttt	199.6098 -1502.0634 -673.0898	0.326 0.182 6.237
item_ammo_smg1_ttt	-80.1194 -802.2792 -603.6442	0.186 0.290 0.593
weapon_zm_shotgun	522.9472 -1896.5764 -582.9967	-7.122 7.257 97.713
weapon_zm_shotgun	1315.8729 -2503.6350 -646.1282	-1.007 -9.676 -89.349
weapon_zm_shotgun	1286.6919 -2113.6428 -767.1458	-48.490 8.090 -94.862
weapon_zm_shotgun	1739.2416 -1302.1710 -779.0820	5.160 -9.037 -87.439
weapon_zm_shotgun	1413.0452 402.3167 -786.2654	-6.316 11.306 96.321
weapon_zm_shotgun	969.8720 282.9781 -498.7543	-0.762 -10.117 -92.610
weapon_zm_shotgun	748.6825 21.7092 -499.0143	-0.414 -9.325 -83.676
weapon_zm_shotgun	-169.4351 -1595.5360 -786.9982	-0.378 -9.333 -83.683
weapon_zm_shotgun	-210.5662 -434.0584 -626.8930	-0.636 8.576 84.337
weapon_zm_shotgun	-1084.1184 -274.2734 -646.7377	-0.210 8.184 83.481
weapon_zm_shotgun	-499.5779 16.2439 -518.7750	-0.356 9.766 83.105
weapon_zm_shotgun	-685.5706 3.4413 0.9991	-0.418 -9.324 -83.739
weapon_zm_shotgun	-40.5368 -1315.2590 -673.1570	-0.354 10.407 84.155
weapon_ttt_m16	-364.9284 -304.3191 -488.5328	2.131 -8.327 84.202
weapon_ttt_m16	-27.7962 -698.6498 -602.9980	1.574 -9.434 85.298
weapon_ttt_m16	1358.7739 -2153.6240 -646.2938	2.997 -5.566 83.792
weapon_ttt_m16	139.3656 -2146.3369 -609.0571	4.071 8.819 -95.659
weapon_ttt_m16	-1574.8088 -1713.8558 -785.9798	2.037 -8.132 84.294
weapon_ttt_m16	-1609.9058 -1093.4651 -420.8570	2.048 -4.452 84.525
weapon_ttt_m16	-503.5923 24.7946 -390.8529	1.800 3.036 85.796
weapon_ttt_m16	1219.6537 388.6002 -614.8262	2.196 -8.225 84.411
weapon_ttt_m16	1644.4220 -1362.0178 -765.5237	2.037 -7.183 84.294
weapon_ttt_m16	803.9373 -302.9112 -781.6202	-10.429 0.421 77.393
weapon_ttt_m16	-597.9152 -97.5055 -254.8507	2.140 -8.333 84.196
weapon_ttt_m16	-118.2108 -1390.6202 -637.5553	-0.649 0.463 81.925
weapon_ttt_m16	-917.1312 -1026.8892 -786.6832	2.777 9.369 -85.799
weapon_zm_molotov	-636.4686 -50.4670 4.5562	3.543 -0.093 -3.645
weapon_zm_molotov	-637.0774 -82.2902 4.6034	2.250 -0.120 -2.304
weapon_zm_molotov	-536.0596 -66.3934 -251.4702	1.203 0.012 -0.947
weapon_zm_molotov	-529.7704 81.8131 -251.4667	2.410 -0.005 -2.287
weapon_zm_molotov	-527.3553 88.2314 388.5958	2.461 -0.123 -2.522
weapon_zm_molotov	-506.7492 -66.0500 388.5695	3.183 -0.137 -3.269
weapon_zm_molotov	680.7636 388.3705 -611.3962	2.279 -0.124 -2.349
weapon_zm_molotov	650.9494 399.1862 -611.4024	2.457 -0.126 -2.534
weapon_zm_molotov	837.3127 30.9115 -487.3855	1.637 -0.116 -1.681
weapon_zm_molotov	824.0302 32.9230 -487.4776	1.183 0.012 -0.969
weapon_zm_molotov	1026.7614 -1409.9871 -784.8173	5.299 0.347 1.235
weapon_zm_molotov	1563.9569 -2109.4810 -642.6180	3.538 -0.093 -3.638
weapon_zm_molotov	1563.1348 -2148.2156 -642.5837	2.615 -0.124 -2.681
weapon_zm_molotov	1122.7217 -2530.4939 -642.5557	1.823 -0.114 -1.863
weapon_zm_molotov	-546.8998 -2169.4019 -654.1003	24.060 179.098 102.526
weapon_zm_molotov	-1251.0625 -1558.5498 -651.3783	3.645 -0.112 -3.748
weapon_zm_molotov	-1628.6178 -1099.5787 -801.1015	-41.124 91.833 103.750
weapon_zm_molotov	-1710.1089 -272.2492 -595.4166	0.773 0.026 0.518
weapon_zm_molotov	-1708.8724 -260.3546 -595.4462	3.591 -0.102 -3.692
weapon_zm_molotov	-1506.4504 -275.1805 -787.4420	3.486 -0.111 -3.584
weapon_zm_molotov	-263.4475 -1461.4199 -672.6447	-84.685 47.263 94.852
weapon_zm_molotov	-889.7633 -1978.1030 -607.1000	-0.819 0.854 1.898
weapon_zm_molotov	-1023.3622 -1199.0482 -788.3489	5.064 -0.069 -0.041
weapon_zm_molotov	-1024.0083 -1236.8069 -788.6797	2.366 -0.117 0.297
weapon_zm_molotov	-1317.9222 -12.4428 -516.7177	2.129 -0.122 -2.198
weapon_zm_molotov	-1312.0157 -60.0938 -516.7928	1.155 0.012 -0.954
weapon_zm_molotov	737.5551 458.7884 -423.5010	0.380 0.002 0.004
item_box_buckshot_ttt	501.6280 -1886.2330 -582.5696	1.202 -1.252 10.619
item_box_buckshot_ttt	525.5452 -1865.4679 -582.2647	-0.723 -0.337 0.283
item_box_buckshot_ttt	1312.8137 -2458.1655 -646.7094	-0.567 -0.519 0.859
item_box_buckshot_ttt	1328.2668 -2462.3958 -646.7129	-0.369 -0.285 -0.057
item_box_buckshot_ttt	1268.4631 -2121.7239 -771.2831	88.857 24.735 -0.325
item_box_buckshot_ttt	1749.3347 -1285.1354 -781.5566	6.172 0.513 -2.470
item_box_buckshot_ttt	1766.5906 -1286.1320 -783.2737	6.114 0.496 -2.505
item_box_buckshot_ttt	1393.8640 391.7564 -790.3807	-2.940 -0.553 11.784
item_box_buckshot_ttt	1396.6232 405.2323 -787.5240	-3.005 -0.445 11.682
item_box_buckshot_ttt	960.2111 274.9775 -499.6285	-0.438 -0.000 0.442
item_box_buckshot_ttt	961.2007 293.9535 -499.5651	1.483 -0.576 -0.295
item_box_buckshot_ttt	732.7313 9.2540 -499.6329	-0.180 0.001 -0.090
item_box_buckshot_ttt	734.4646 22.5708 -499.6790	-0.310 0.000 -0.266
item_box_buckshot_ttt	-181.3617 -1611.4592 -787.5839	-0.758 -0.007 0.673
item_box_buckshot_ttt	-156.3396 -1611.1495 -787.6212	0.149 0.003 -0.037
item_box_buckshot_ttt	-166.6776 -421.7605 -627.7979	0.526 0.003 -0.415
item_box_buckshot_ttt	-181.1563 -421.6169 -627.7031	-0.604 -0.007 0.536
item_box_buckshot_ttt	-1074.0817 -266.2615 -647.6232	0.481 0.018 -0.302
item_box_buckshot_ttt	-1063.2096 -266.4037 -647.6085	-0.980 0.004 0.868
item_box_buckshot_ttt	-481.9405 2.3856 -519.5460	-0.461 -0.006 0.409
item_box_buckshot_ttt	-495.7455 3.2202 -519.5578	-0.552 -0.007 0.491
item_box_buckshot_ttt	-681.4053 -17.3204 0.4023	-0.855 -0.010 0.764
item_box_buckshot_ttt	-42.1290 -1303.2209 -674.0539	0.284 0.003 -0.142
item_box_buckshot_ttt	-26.1979 -1294.6007 -674.0244	-0.818 -0.005 0.730
weapon_zm_sledge	-1330.2629 -41.5675 -516.8914	18.634 0.195 2.830
weapon_zm_sledge	-1725.5957 -1202.7081 -785.1699	31.680 9.184 7.475
weapon_zm_sledge	1214.2797 -2269.4585 -770.7502	18.543 0.195 2.845
weapon_zm_sledge	-1816.7775 -208.4657 -595.5739	18.559 0.202 2.856
weapon_zm_sledge	157.3168 -1604.2153 -791.9164	15.524 3.066 5.215
weapon_zm_sledge	732.3182 440.1773 -496.2714	13.234 0.119 2.272
weapon_zm_sledge	1246.6263 -1553.9401 -780.8669	8.686 1.533 3.646
weapon_ttt_glock	-426.5189 -974.9540 -627.6319	-1.029 26.694 92.043
weapon_ttt_glock	-133.5695 -979.6416 -627.6333	-1.039 26.693 92.072
weapon_ttt_glock	-1207.7438 -1975.4703 -599.6357	34.996 2.862 8.822
weapon_ttt_glock	966.4486 230.7646 -615.4996	-1.078 26.673 92.179
weapon_zm_mac10	-1599.1949 -2029.5664 -657.9349	0.804 -56.981 -88.258
weapon_zm_mac10	-525.9072 -2187.6248 -552.7505	-10.079 -59.690 -94.119
weapon_zm_mac10	-190.4301 -1298.1929 -637.2287	-0.132 -34.436 -88.076
weapon_zm_mac10	-55.6267 -1429.3688 -673.1767	-0.110 -44.428 -88.670
weapon_zm_mac10	-99.0725 -186.5416 -585.5173	-8.183 -28.313 -83.524
weapon_zm_mac10	932.3400 52.2049 -498.7349	-0.434 -43.795 -88.544
weapon_zm_mac10	931.9014 33.8567 -362.7137	-0.170 -30.303 -88.686
weapon_zm_mac10	-1600.1096 -1255.9902 -420.7616	-0.259 -38.294 -88.422
weapon_zm_mac10	-143.9349 -706.4854 -626.8789	-0.166 -37.624 -88.543
weapon_zm_mac10	-733.1812 -314.1782 -630.5533	0.592 -37.571 -89.114
weapon_zm_mac10	-276.8195 231.4051 -518.7456	-0.224 -42.972 -88.815
weapon_zm_mac10	2.1396 -1215.5961 -790.2964	3.019 -51.881 -91.539
weapon_zm_mac10	196.8640 -1488.1472 -673.1867	0.035 -34.341 -88.348
weapon_zm_mac10	-72.0621 -805.5116 -602.9308	-0.115 -27.233 -88.105
item_ammo_357_ttt	-603.6752 -108.3090 384.3638	0.457 0.060 0.042
item_ammo_357_ttt	-596.8731 -117.7799 384.3669	0.458 0.060 0.041
item_ammo_357_ttt	-592.4590 122.6992 384.3554	0.456 0.062 0.045
item_ammo_357_ttt	-606.1329 108.5414 384.3700	0.458 0.059 0.040
item_ammo_357_ttt	-707.0322 -18.9207 384.3367	0.452 0.066 0.053
item_ammo_357_ttt	-697.5787 -22.9284 384.3654	0.458 0.060 0.041
item_ammo_357_ttt	-1306.7991 -1713.2135 -655.5995	0.451 0.070 0.055
item_ammo_357_ttt	-1292.3197 -1720.2761 -655.5513	0.460 0.058 0.036
item_ammo_357_ttt	-360.8200 -2188.4956 -749.3890	0.495 1.051 -12.155
item_ammo_357_ttt	-337.9329 -2186.0547 -749.8710	0.527 1.064 -12.063
item_ammo_357_ttt	1304.1367 -2075.4468 -621.4816	0.375 1.270 -11.061
item_ammo_357_ttt	1283.8759 -2076.0698 -621.4646	0.268 1.282 -11.358
item_ammo_357_ttt	1424.5859 305.6114 -643.1379	0.456 0.058 0.043
item_ammo_357_ttt	1404.5126 305.2711 -643.1806	0.448 0.073 0.060
item_ammo_357_ttt	-1832.7958 -330.2830 -599.5734	0.469 0.056 0.017
item_ammo_357_ttt	-1852.0216 -328.2448 -599.6193	-0.252 -0.424 -0.096
item_ammo_357_ttt	-1544.7422 -1228.3009 -421.3746	0.456 0.062 0.045
item_ammo_357_ttt	-1525.8480 -1217.9915 -421.3472	0.461 0.057 0.034
item_ammo_357_ttt	1167.6910 488.8478 -499.6871	0.448 0.067 0.059
item_ammo_357_ttt	1152.9296 483.7021 -499.6506	0.456 0.057 0.044
item_ammo_357_ttt	-1328.8566 -923.3685 -421.6783	0.448 0.068 0.059
item_ammo_357_ttt	-531.9347 189.4075 -255.6285	0.459 0.059 0.039
item_ammo_357_ttt	-512.2560 187.3538 -255.6634	0.452 0.066 0.053
item_ammo_357_ttt	-1417.7164 -2072.7991 -791.7277	-2.835 -0.061 -3.113
item_ammo_357_ttt	-1392.9680 -2072.8716 -790.4922	7.265 -0.611 -2.934
item_ammo_357_ttt	1322.2506 -1175.0752 -767.2007	-7.015 -0.384 1.358
item_ammo_357_ttt	1725.6644 -1348.9033 -779.9784	7.293 0.110 2.372
item_ammo_357_ttt	1753.2466 -1341.5441 -782.5162	7.106 0.109 2.392
item_ammo_revolver_ttt	1660.8517 -1220.4070 -766.3705	0.447 0.073 0.063
item_ammo_revolver_ttt	1667.9569 -1230.9880 -766.3658	0.448 0.073 0.061
item_ammo_revolver_ttt	1561.9401 -1910.9502 -796.5643	0.502 0.089 -0.021
item_ammo_revolver_ttt	1572.0992 -2433.4795 -646.7725	0.464 0.056 0.027
item_ammo_revolver_ttt	1557.2676 -2428.7695 -646.8568	0.448 0.075 0.060
item_ammo_revolver_ttt	-566.4007 -2044.5520 -582.7006	0.577 1.074 -11.908
item_ammo_revolver_ttt	-534.3735 -2025.9830 -586.4379	0.656 1.068 -11.654
item_ammo_revolver_ttt	-1438.5441 -2168.6555 -617.6648	0.580 0.019 -0.054
item_ammo_revolver_ttt	-1452.3307 -2190.5137 -617.5639	0.554 0.079 -0.048
item_ammo_revolver_ttt	-1695.0793 -1037.5210 -791.0480	7.189 0.059 -2.495
item_ammo_revolver_ttt	-1687.9279 -1050.9891 -791.1120	9.642 0.629 -0.708
item_ammo_revolver_ttt	-1603.5958 -889.8109 -421.6447	0.455 0.060 0.046
item_ammo_revolver_ttt	-1605.9344 -905.5641 -421.6876	0.447 0.073 0.063
item_ammo_revolver_ttt	-487.5526 250.0769 -519.5621	0.825 -0.364 -0.700
item_ammo_revolver_ttt	-498.3242 216.7553 -519.5683	1.247 -0.777 -1.089
item_ammo_revolver_ttt	-174.8664 232.4039 -585.6255	0.459 0.059 0.038
item_ammo_revolver_ttt	-167.6965 231.4216 -585.6777	0.511 -0.058 -0.018
item_ammo_revolver_ttt	-86.0604 -416.2112 -627.8196	0.448 0.073 0.060
item_ammo_revolver_ttt	-100.2547 -417.5273 -627.7836	0.455 0.060 0.046
item_ammo_revolver_ttt	-422.6363 -289.2817 -637.0688	-0.948 0.015 -1.286
ttt_playerspawn	1177.4324 -1125.9736 -778.9528	-6.944 1.630 2.919
ttt_playerspawn	1172.7821 -1205.7648 -783.3459	-7.144 1.024 2.509
ttt_playerspawn	1171.2679 -1294.2699 -785.8677	-5.156 -0.179 -1.042
ttt_playerspawn	1056.9905 -1276.9829 -792.1507	-2.478 -0.525 -1.248
ttt_playerspawn	1066.9635 -1195.9568 -793.3278	-2.602 1.205 -1.201
ttt_playerspawn	1104.8635 -1106.9338 -786.8155	-7.083 0.393 3.484
ttt_playerspawn	562.5482 -1556.4806 -789.8163	-1.601 -0.330 0.860
ttt_playerspawn	544.9570 -1670.1897 -790.6693	0.075 -0.037 0.271
ttt_playerspawn	405.2362 -1648.3696 -791.2532	-0.947 -0.030 -0.553
ttt_playerspawn	415.5782 -1558.6002 -792.1169	-0.856 0.388 -0.688
ttt_playerspawn	119.2785 -1535.2638 -674.0784	-0.023 0.000 0.023
ttt_playerspawn	130.5535 -1601.7969 -674.0041	0.015 0.000 -0.015
ttt_playerspawn	135.6143 -1336.5040 -674.0249	-0.006 0.000 0.006
ttt_playerspawn	155.8889 -1411.1296 -674.0839	0.015 -0.000 -0.015
ttt_playerspawn	10.3572 -1385.7006 -674.0220	0.013 0.000 -0.013
ttt_playerspawn	10.5222 -1330.6011 -673.9639	0.033 0.085 0.068
ttt_playerspawn	751.1830 67.3939 -363.5507	-0.013 0.446 -0.007
ttt_playerspawn	895.8884 65.5353 -363.6087	-0.006 0.000 0.006
ttt_playerspawn	916.3152 164.8287 -363.6052	-0.006 0.000 0.006
ttt_playerspawn	766.5250 149.6641 -363.5758	-0.009 0.000 0.009
ttt_playerspawn	870.3234 280.5720 -363.6213	0.044 0.024 -0.001
ttt_playerspawn	1150.4380 342.9188 -499.6020	-0.016 -0.000 -0.016
ttt_playerspawn	1018.5843 333.0511 -499.5772	0.108 -0.115 0.134
ttt_playerspawn	-209.4236 -926.1031 -627.8070	-0.023 0.000 0.023
ttt_playerspawn	-204.6842 -817.7187 -627.7010	0.009 0.000 -0.009
ttt_playerspawn	-195.4638 -623.2690 -627.7440	-0.014 0.000 0.014
ttt_playerspawn	-182.0745 -483.1806 -627.7814	-0.019 0.000 0.019
ttt_playerspawn	1138.6810 -1661.1080 -788.5032	1.329 -0.513 -0.362
ttt_playerspawn	1162.5859 -1743.0825 -786.5651	-4.700 -1.385 -3.941
ttt_playerspawn	1161.2535 -1824.8448 -780.6735	-4.620 0.531 -4.247
ttt_playerspawn	1074.3335 -1836.9891 -786.2280	-4.596 0.510 -2.200
ttt_playerspawn	1069.3833 -1776.5811 -788.1195	1.335 0.034 0.655
ttt_playerspawn	1073.1567 -1687.2889 -787.2291	1.353 -0.029 0.667
ttt_playerspawn	605.3769 -1473.5377 -787.4869	-0.174 0.769 2.081
ttt_playerspawn	430.8669 -1443.2614 -789.9283	-3.043 2.523 3.324
weapon_zm_rifle	-586.7782 -137.7602 385.2668	0.379 54.047 -89.021
